X-coordinate,Electric Potential,,,,,,
-5.24,2.15E-05,,,,,,
-5.22,2.17E-05,,,,,,
-5.2,2.18E-05,,,,,,
-5.18,2.20E-05,,,,,,
-5.16,2.22E-05,,,,,,
-5.14,2.24E-05,,,,,,
-5.12,2.25E-05,,,,,,
-5.1,2.27E-05,,,,,,
-5.08,2.29E-05,,,,,,
-5.06,2.31E-05,,,,,,
-5.04,2.33E-05,,,,,,
-5.02,2.34E-05,,,,,,
-5,2.36E-05,,,,,,
-4.98,2.38E-05,,,,,,
-4.96,2.40E-05,,,,,,
-4.94,2.42E-05,,,,,,
-4.92,2.44E-05,,,,,,
-4.9,2.46E-05,,,,,,
-4.88,2.48E-05,,,,,,
-4.86,2.50E-05,,,,,,
-4.84,2.52E-05,,,,,,
-4.82,2.54E-05,,,,,,
-4.8,2.56E-05,,,,,,
-4.78,2.59E-05,,,,,,
-4.76,2.61E-05,,,,,,
-4.74,2.63E-05,,,,,,
-4.72,2.65E-05,,,,,,
-4.7,2.67E-05,,,,,,
-4.68,2.70E-05,,,,,,
-4.66,2.72E-05,,,,,,
-4.64,2.74E-05,,,,,,
-4.62,2.77E-05,,,,,,
-4.6,2.79E-05,,,,,,
-4.58,2.82E-05,,,,,,
-4.56,2.84E-05,,,,,,
-4.54,2.87E-05,,,,,,
-4.52,2.89E-05,,,,,,
-4.5,2.92E-05,,,,,,
-4.48,2.94E-05,,,,,,
-4.46,2.97E-05,,,,,,
-4.44,3.00E-05,,,,,,
-4.42,3.02E-05,,,,,,
-4.4,3.05E-05,,,,,,
-4.38,3.08E-05,,,,,,
-4.36,3.11E-05,,,,,,
-4.34,3.14E-05,,,,,,
-4.32,3.17E-05,,,,,,
-4.3,3.20E-05,,,,,,
-4.28,3.23E-05,,,,,,
-4.26,3.26E-05,,,,,,
-4.24,3.29E-05,,,,,,
-4.22,3.32E-05,,,,,,
-4.2,3.35E-05,,,,,,
-4.18,3.38E-05,,,,,,
-4.16,3.41E-05,,,,,,
-4.14,3.45E-05,,,,,,
-4.12,3.48E-05,,,,,,
-4.1,3.51E-05,,,,,,
-4.08,3.55E-05,,,,,,
-4.06,3.58E-05,,,,,,
-4.04,3.62E-05,,,,,,
-4.02,3.66E-05,,,,,,
-4,3.69E-05,,,,,,
-3.98,3.73E-05,,,,,,
-3.96,3.77E-05,,,,,,
-3.94,3.81E-05,,,,,,
-3.92,3.84E-05,,,,,,
-3.9,3.88E-05,,,,,,
-3.88,3.92E-05,,,,,,
-3.86,3.97E-05,,,,,,
-3.84,4.01E-05,,,,,,
-3.82,4.05E-05,,,,,,
-3.8,4.09E-05,,,,,,
-3.78,4.14E-05,,,,,,
-3.76,4.18E-05,,,,,,
-3.74,4.22E-05,,,,,,
-3.72,4.27E-05,,,,,,
-3.7,4.32E-05,,,,,,
-3.68,4.36E-05,,,,,,
-3.66,4.41E-05,,,,,,
-3.64,4.46E-05,,,,,,
-3.62,4.51E-05,,,,,,
-3.6,4.56E-05,,,,,,
-3.58,4.61E-05,,,,,,
