X-coordinate,Electric Potential,,,,,
-1.58,-3.81E-06,,,,,
-1.56,-3.90E-06,,,,,
-1.54,-4.00E-06,,,,,
-1.52,-4.11E-06,,,,,
-1.5,-4.22E-06,,,,,
-1.48,-4.33E-06,,,,,
-1.46,-4.45E-06,,,,,
-1.44,-4.57E-06,,,,,
-1.42,-4.70E-06,,,,,
-1.4,-4.84E-06,,,,,
-1.38,-4.97E-06,,,,,
-1.36,-5.12E-06,,,,,
-1.34,-5.27E-06,,,,,
-1.32,-5.43E-06,,,,,
-1.3,-5.60E-06,,,,,
-1.28,-5.77E-06,,,,,
-1.26,-5.95E-06,,,,,
-1.24,-6.15E-06,,,,,
-1.22,-6.35E-06,,,,,
-1.2,-6.56E-06,,,,,
-1.18,-6.78E-06,,,,,
-1.16,-7.01E-06,,,,,
-1.14,-7.25E-06,,,,,
-1.12,-7.51E-06,,,,,
-1.1,-7.78E-06,,,,,
-1.08,-8.07E-06,,,,,
-1.06,-8.37E-06,,,,,
-1.04,-8.69E-06,,,,,
-1.02,-9.03E-06,,,,,
-1,-9.39E-06,,,,,
-0.98,-9.77E-06,,,,,
-0.96,-1.02E-05,,,,,
-0.94,-1.06E-05,,,,,
-0.92,-1.11E-05,,,,,
-0.9,-1.16E-05,,,,,
-0.88,-1.21E-05,,,,,
-0.86,-1.26E-05,,,,,
-0.84,-1.32E-05,,,,,
-0.82,-1.39E-05,,,,,
-0.8,-1.46E-05,,,,,
-0.78,-1.53E-05,,,,,
-0.76,-1.61E-05,,,,,
-0.74,-1.70E-05,,,,,
-0.72,-1.79E-05,,,,,
-0.7,-1.89E-05,,,,,
-0.68,-2.00E-05,,,,,
-0.66,-2.12E-05,,,,,
-0.64,-2.25E-05,,,,,
-0.62,-2.40E-05,,,,,
-0.6,-2.55E-05,,,,,
-0.58,-2.73E-05,,,,,
-0.56,-2.92E-05,,,,,
-0.54,-3.13E-05,,,,,
-0.52,-3.37E-05,,,,,
-0.5,-3.64E-05,,,,,
-0.48,-3.93E-05,,,,,
-0.46,-4.27E-05,,,,,
-0.44,-4.65E-05,,,,,
-0.42,-5.09E-05,,,,,
-0.4,-5.59E-05,,,,,
-0.38,-6.16E-05,,,,,
-0.36,-6.83E-05,,,,,
-0.34,-7.61E-05,,,,,
-0.32,-8.54E-05,,,,,
-0.3,-9.65E-05,,,,,
-0.28,-1.10E-04,,,,,
-0.26,-1.26E-04,,,,,
-0.24,-1.46E-04,,,,,
-0.22,-1.72E-04,,,,,
-0.2,-2.04E-04,,,,,
-0.18,-2.46E-04,,,,,
-0.16,-3.03E-04,,,,,
-0.14,-3.82E-04,,,,,
-0.12,-4.93E-04,,,,,
-0.1,-6.56E-04,,,,,
-0.08,-8.98E-04,,,,,
-0.06,-0.001217653,,,,,
-0.04,-0.001065938,,,,,
-0.02,0.014961906,,,,,
-1.25E-13,-2,,,,,
0.02,0.040721389,,,,,
0.04,0.009282762,,,,,
0.06,0.003798369,,,,,
0.08,0.002012121,,,,,
0.1,0.001233115,,,,,
0.12,8.29E-04,,,,,
0.14,5.94E-04,,,,,
0.16,4.46E-04,,,,,
0.18,3.47E-04,,,,,
0.2,2.77E-04,,,,,
0.22,2.27E-04,,,,,
0.24,1.89E-04,,,,,
0.26,1.60E-04,,,,,
0.28,1.37E-04,,,,,
0.3,1.18E-04,,,,,
0.32,1.03E-04,,,,,
0.34,9.11E-05,,,,,
0.36,8.09E-05,,,,,
0.38,7.23E-05,,,,,
0.4,6.51E-05,,,,,
0.42,5.88E-05,,,,,
0.44,5.34E-05,,,,,
0.46,4.88E-05,,,,,
0.48,4.47E-05,,,,,
0.5,4.11E-05,,,,,
0.52,3.79E-05,,,,,
0.54,3.51E-05,,,,,
0.56,3.25E-05,,,,,
0.58,3.03E-05,,,,,
0.6,2.83E-05,,,,,
0.62,2.64E-05,,,,,
0.64,2.48E-05,,,,,
0.66,2.33E-05,,,,,
0.68,2.19E-05,,,,,
0.7,2.06E-05,,,,,
0.72,1.95E-05,,,,,
0.74,1.84E-05,,,,,
0.76,1.74E-05,,,,,
0.78,1.65E-05,,,,,
0.8,1.57E-05,,,,,
0.82,1.49E-05,,,,,
0.84,1.42E-05,,,,,
0.86,1.36E-05,,,,,
0.88,1.29E-05,,,,,
0.9,1.24E-05,,,,,
0.92,1.18E-05,,,,,
0.94,1.13E-05,,,,,
0.96,1.08E-05,,,,,
0.98,1.04E-05,,,,,
1,9.98E-06,,,,,
1.02,9.59E-06,,,,,
1.04,9.22E-06,,,,,
1.06,8.87E-06,,,,,
1.08,8.54E-06,,,,,
1.1,8.23E-06,,,,,
1.12,7.93E-06,,,,,
1.14,7.65E-06,,,,,
1.16,7.39E-06,,,,,
1.18,7.14E-06,,,,,
1.2,6.90E-06,,,,,
1.22,6.67E-06,,,,,
1.24,6.45E-06,,,,,
1.26,6.25E-06,,,,,
1.28,6.05E-06,,,,,
1.3,5.87E-06,,,,,
1.32,5.69E-06,,,,,
1.34,5.52E-06,,,,,
1.36,5.35E-06,,,,,
1.38,5.20E-06,,,,,
1.4,5.05E-06,,,,,
1.42,4.91E-06,,,,,
1.44,4.77E-06,,,,,
1.46,4.64E-06,,,,,
1.48,4.51E-06,,,,,
1.5,4.39E-06,,,,,
1.52,4.28E-06,,,,,
1.54,4.17E-06,,,,,
1.56,4.06E-06,,,,,
1.58,3.96E-06,,,,,
1.6,3.86E-06,,,,,
1.62,3.76E-06,,,,,
1.64,3.67E-06,,,,,
1.66,3.58E-06,,,,,
1.68,3.49E-06,,,,,
1.7,3.41E-06,,,,,
1.72,3.33E-06,,,,,
1.74,3.26E-06,,,,,
1.76,3.18E-06,,,,,
1.78,3.11E-06,,,,,
1.8,3.04E-06,,,,,
1.82,2.97E-06,,,,,
1.84,2.91E-06,,,,,
1.86,2.85E-06,,,,,
1.88,2.79E-06,,,,,
1.9,2.73E-06,,,,,
1.92,2.67E-06,,,,,
1.94,2.61E-06,,,,,
1.96,2.56E-06,,,,,
1.98,2.51E-06,,,,,
2,2.46E-06,,,,,
2.02,2.41E-06,,,,,
2.04,2.36E-06,,,,,
2.06,2.32E-06,,,,,
2.08,2.27E-06,,,,,
2.1,2.23E-06,,,,,
2.12,2.19E-06,,,,,
2.14,2.15E-06,,,,,
2.16,2.11E-06,,,,,
2.18,2.07E-06,,,,,
2.2,2.03E-06,,,,,
2.22,1.99E-06,,,,,
2.24,1.96E-06,,,,,
2.26,1.92E-06,,,,,
2.28,1.89E-06,,,,,
2.3,1.86E-06,,,,,
2.32,1.82E-06,,,,,
2.34,1.79E-06,,,,,
2.36,1.76E-06,,,,,
2.38,1.73E-06,,,,,
2.4,1.70E-06,,,,,
2.42,1.68E-06,,,,,
2.44,1.65E-06,,,,,
2.46,1.62E-06,,,,,
2.48,1.59E-06,,,,,
2.5,1.57E-06,,,,,
2.52,1.54E-06,,,,,
2.54,1.52E-06,,,,,
2.56,1.50E-06,,,,,
2.58,1.47E-06,,,,,
2.6,1.45E-06,,,,,
2.62,1.43E-06,,,,,
2.64,1.41E-06,,,,,
2.66,1.38E-06,,,,,
2.68,1.36E-06,,,,,
2.7,1.34E-06,,,,,
2.72,1.32E-06,,,,,
2.74,1.30E-06,,,,,
2.76,1.29E-06,,,,,
2.78,1.27E-06,,,,,
2.8,1.25E-06,,,,,
2.82,1.23E-06,,,,,
2.84,1.21E-06,,,,,
2.86,1.20E-06,,,,,
2.88,1.18E-06,,,,,
2.9,1.16E-06,,,,,
2.92,1.15E-06,,,,,
2.94,1.13E-06,,,,,
2.96,1.12E-06,,,,,
2.98,1.10E-06,,,,,
3,1.09E-06,,,,,
3.02,1.07E-06,,,,,
3.04,1.06E-06,,,,,
3.06,1.04E-06,,,,,
3.08,1.03E-06,,,,,
3.1,1.02E-06,,,,,
3.12,1.00E-06,,,,,
3.14,9.92E-07,,,,,
3.16,9.80E-07,,,,,
3.18,9.67E-07,,,,,
3.2,9.55E-07,,,,,
3.22,9.43E-07,,,,,
3.24,9.32E-07,,,,,
3.26,9.20E-07,,,,,
3.28,9.09E-07,,,,,
3.3,8.98E-07,,,,,
3.32,8.87E-07,,,,,
3.34,8.76E-07,,,,,
3.36,8.66E-07,,,,,
3.38,8.56E-07,,,,,
3.4,8.46E-07,,,,,
3.42,8.36E-07,,,,,
3.44,8.26E-07,,,,,
3.46,8.16E-07,,,,,
3.48,8.07E-07,,,,,
3.5,7.98E-07,,,,,
3.52,7.89E-07,,,,,
3.54,7.80E-07,,,,,
3.56,7.71E-07,,,,,
3.58,7.62E-07,,,,,
3.6,7.54E-07,,,,,
3.62,7.46E-07,,,,,
3.64,7.37E-07,,,,,
3.66,7.29E-07,,,,,
3.68,7.21E-07,,,,,
3.7,7.14E-07,,,,,
3.72,7.06E-07,,,,,
3.74,6.98E-07,,,,,
3.76,6.91E-07,,,,,
3.78,6.84E-07,,,,,
3.8,6.76E-07,,,,,
3.82,6.69E-07,,,,,
3.84,6.62E-07,,,,,
3.86,6.55E-07,,,,,
3.88,6.49E-07,,,,,
3.9,6.42E-07,,,,,
3.92,6.35E-07,,,,,
3.94,6.29E-07,,,,,
3.96,6.23E-07,,,,,
3.98,6.16E-07,,,,,
4,6.10E-07,,,,,
4.02,6.04E-07,,,,,
4.04,5.98E-07,,,,,
4.06,5.92E-07,,,,,
4.08,5.86E-07,,,,,
4.1,5.81E-07,,,,,
4.12,5.75E-07,,,,,
4.14,5.69E-07,,,,,
4.16,5.64E-07,,,,,
4.18,5.59E-07,,,,,
4.2,5.53E-07,,,,,
4.22,5.48E-07,,,,,
4.24,5.43E-07,,,,,
4.26,5.38E-07,,,,,
4.28,5.33E-07,,,,,
4.3,5.28E-07,,,,,
4.32,5.23E-07,,,,,
4.34,5.18E-07,,,,,
4.36,5.13E-07,,,,,
4.38,5.09E-07,,,,,
4.4,5.04E-07,,,,,
4.42,4.99E-07,,,,,
4.44,4.95E-07,,,,,
4.46,4.90E-07,,,,,
4.48,4.86E-07,,,,,
4.5,4.82E-07,,,,,
4.52,4.77E-07,,,,,
4.54,4.73E-07,,,,,
4.56,4.69E-07,,,,,
4.58,4.65E-07,,,,,
4.6,4.61E-07,,,,,
4.62,4.57E-07,,,,,
4.64,4.53E-07,,,,,
4.66,4.49E-07,,,,,
4.68,4.45E-07,,,,,
4.7,4.41E-07,,,,,
4.72,4.38E-07,,,,,
4.74,4.34E-07,,,,,
4.76,4.30E-07,,,,,
4.78,4.27E-07,,,,,
4.8,4.23E-07,,,,,
4.82,4.20E-07,,,,,
4.84,4.16E-07,,,,,
4.86,4.13E-07,,,,,
4.88,4.09E-07,,,,,
4.9,4.06E-07,,,,,
4.92,4.03E-07,,,,,
4.94,3.99E-07,,,,,
4.96,3.96E-07,,,,,
4.98,3.93E-07,,,,,
5,3.90E-07,,,,,
5.02,3.87E-07,,,,,
5.04,3.84E-07,,,,,
5.06,3.81E-07,,,,,
5.08,3.78E-07,,,,,
5.1,3.75E-07,,,,,
5.12,3.72E-07,,,,,
5.14,3.69E-07,,,,,
5.16,3.66E-07,,,,,
5.18,3.63E-07,,,,,
5.2,3.60E-07,,,,,
5.22,3.58E-07,,,,,
5.24,3.55E-07,,,,,
5.26,3.52E-07,,,,,
5.28,3.50E-07,,,,,
5.3,3.47E-07,,,,,
5.32,3.44E-07,,,,,
5.34,3.42E-07,,,,,
5.36,3.39E-07,,,,,
5.38,3.37E-07,,,,,
5.4,3.34E-07,,,,,
5.42,3.32E-07,,,,,
5.44,3.29E-07,,,,,
5.46,3.27E-07,,,,,
5.48,3.24E-07,,,,,
5.5,3.22E-07,,,,,
5.52,3.20E-07,,,,,
5.54,3.17E-07,,,,,
5.56,3.15E-07,,,,,
5.58,3.13E-07,,,,,
5.6,3.11E-07,,,,,
5.62,3.08E-07,,,,,
5.64,3.06E-07,,,,,
5.66,3.04E-07,,,,,
5.68,3.02E-07,,,,,
5.7,3.00E-07,,,,,
5.72,2.98E-07,,,,,
5.74,2.96E-07,,,,,
5.76,2.94E-07,,,,,
5.78,2.92E-07,,,,,
5.8,2.90E-07,,,,,
5.82,2.88E-07,,,,,
5.84,2.86E-07,,,,,
5.86,2.84E-07,,,,,
5.88,2.82E-07,,,,,
5.9,2.80E-07,,,,,
5.92,2.78E-07,,,,,
5.94,2.76E-07,,,,,
5.96,2.74E-07,,,,,
5.98,2.72E-07,,,,,
6,2.70E-07,,,,,
6.02,2.69E-07,,,,,
6.04,2.67E-07,,,,,
6.06,2.65E-07,,,,,
6.08,2.63E-07,,,,,
6.1,2.62E-07,,,,,
6.12,2.60E-07,,,,,
6.14,2.58E-07,,,,,
6.16,2.57E-07,,,,,
6.18,2.55E-07,,,,,
6.2,2.53E-07,,,,,
