Y-coordinate,Electric Potential,,,,,
-0.458,-1.49E-06,,,,,
-0.456,-1.50E-06,,,,,
-0.454,-1.52E-06,,,,,
-0.452,-1.53E-06,,,,,
-0.45,-1.54E-06,,,,,
-0.448,-1.56E-06,,,,,
-0.446,-1.57E-06,,,,,
-0.444,-1.59E-06,,,,,
-0.442,-1.60E-06,,,,,
-0.44,-1.61E-06,,,,,
-0.438,-1.63E-06,,,,,
-0.436,-1.64E-06,,,,,
-0.434,-1.66E-06,,,,,
-0.432,-1.67E-06,,,,,
-0.43,-1.69E-06,,,,,
-0.428,-1.70E-06,,,,,
-0.426,-1.72E-06,,,,,
-0.424,-1.74E-06,,,,,
-0.422,-1.75E-06,,,,,
-0.42,-1.77E-06,,,,,
-0.418,-1.78E-06,,,,,
-0.416,-1.80E-06,,,,,
-0.414,-1.82E-06,,,,,
-0.412,-1.84E-06,,,,,
-0.41,-1.85E-06,,,,,
-0.408,-1.87E-06,,,,,
-0.406,-1.89E-06,,,,,
-0.404,-1.91E-06,,,,,
-0.402,-1.93E-06,,,,,
-0.4,-1.95E-06,,,,,
-0.398,-1.96E-06,,,,,
-0.396,-1.98E-06,,,,,
-0.394,-2.00E-06,,,,,
-0.392,-2.02E-06,,,,,
-0.39,-2.04E-06,,,,,
-0.388,-2.06E-06,,,,,
-0.386,-2.09E-06,,,,,
-0.384,-2.11E-06,,,,,
-0.382,-2.13E-06,,,,,
-0.38,-2.15E-06,,,,,
-0.378,-2.17E-06,,,,,
-0.376,-2.20E-06,,,,,
-0.374,-2.22E-06,,,,,
-0.372,-2.24E-06,,,,,
-0.37,-2.27E-06,,,,,
-0.368,-2.29E-06,,,,,
-0.366,-2.31E-06,,,,,
-0.364,-2.34E-06,,,,,
-0.362,-2.36E-06,,,,,
-0.36,-2.39E-06,,,,,
-0.358,-2.42E-06,,,,,
-0.356,-2.44E-06,,,,,
-0.354,-2.47E-06,,,,,
-0.352,-2.50E-06,,,,,
-0.35,-2.53E-06,,,,,
-0.348,-2.55E-06,,,,,
-0.346,-2.58E-06,,,,,
-0.344,-2.61E-06,,,,,
-0.342,-2.64E-06,,,,,
-0.34,-2.67E-06,,,,,
-0.338,-2.70E-06,,,,,
-0.336,-2.74E-06,,,,,
-0.334,-2.77E-06,,,,,
-0.332,-2.80E-06,,,,,
-0.33,-2.83E-06,,,,,
-0.328,-2.87E-06,,,,,
-0.326,-2.90E-06,,,,,
-0.324,-2.94E-06,,,,,
-0.322,-2.97E-06,,,,,
-0.32,-3.01E-06,,,,,
-0.318,-3.05E-06,,,,,
-0.316,-3.08E-06,,,,,
-0.314,-3.12E-06,,,,,
-0.312,-3.16E-06,,,,,
-0.31,-3.20E-06,,,,,
-0.308,-3.24E-06,,,,,
-0.306,-3.28E-06,,,,,
-0.304,-3.32E-06,,,,,
-0.302,-3.37E-06,,,,,
-0.3,-3.41E-06,,,,,
-0.298,-3.46E-06,,,,,
-0.296,-3.50E-06,,,,,
-0.294,-3.55E-06,,,,,
-0.292,-3.59E-06,,,,,
-0.29,-3.64E-06,,,,,
