"Y-coordinate","Electric Potential"
"-9.6979999999999","3.5961161980025485E-11"
"-9.695999999999898","3.597624158722795E-11"
"-9.693999999999898","3.599132723310351E-11"
"-9.691999999999897","3.600642074763594E-11"
"-9.689999999999896","3.6021525737284915E-11"
"-9.687999999999896","3.60366395179395E-11"
"-9.685999999999895","3.605176355146642E-11"
"-9.683999999999894","3.6066896832244964E-11"
"-9.681999999999894","3.608203947193366E-11"
"-9.679999999999893","3.6097192045242894E-11"
"-9.677999999999892","3.611235108814575E-11"
"-9.675999999999892","3.61275260747618E-11"
"-9.673999999999891","3.61427011000905E-11"
"-9.67199999999989","3.615789073416847E-11"
"-9.66999999999989","3.6173091742050936E-11"
"-9.66799999999989","3.6188300319164176E-11"
"-9.665999999999888","3.620351493822587E-11"
"-9.663999999999888","3.6218747642032627E-11"
"-9.661999999999887","3.623398475242845E-11"
"-9.659999999999886","3.6249231563138357E-11"
"-9.657999999999886","3.626449057904616E-11"
"-9.655999999999885","3.627976271543967E-11"
"-9.653999999999884","3.6295040660230284E-11"
"-9.651999999999884","3.631032856922177E-11"
"-9.649999999999883","3.6325621015551905E-11"
"-9.647999999999882","3.6340922759345815E-11"
"-9.645999999999882","3.6356239439079235E-11"
"-9.643999999999881","3.6371557675818206E-11"
"-9.64199999999988","3.6386894652141873E-11"
"-9.63999999999988","3.640224710040278E-11"
"-9.637999999999879","3.64175993147246E-11"
"-9.635999999999878","3.643296074734008E-11"
"-9.633999999999878","3.644833424009838E-11"
"-9.631999999999877","3.646371327508136E-11"
"-9.629999999999876","3.647911182099397E-11"
"-9.627999999999876","3.64945157322408E-11"
"-9.625999999999875","3.6509925170866014E-11"
"-9.623999999999874","3.652534667082787E-11"
"-9.621999999999874","3.654077526867309E-11"
"-9.619999999999873","3.6556218892862154E-11"
"-9.617999999999872","3.657167029643637E-11"
"-9.615999999999872","3.658713290838331E-11"
"-9.613999999999871","3.6602598242817107E-11"
"-9.61199999999987","3.6618085066239685E-11"
"-9.60999999999987","3.6633579034186514E-11"
"-9.607999999999869","3.664907767309899E-11"
"-9.605999999999868","3.666458922166935E-11"
"-9.603999999999868","3.66801033359883E-11"
"-9.601999999999867","3.6695631976794694E-11"
"-9.599999999999866","3.671117544847361E-11"
"-9.597999999999866","3.672672366995157E-11"
"-9.595999999999865","3.6742281718156624E-11"
"-9.593999999999864","3.675785466968011E-11"
"-9.591999999999864","3.677344059772601E-11"
"-9.589999999999863","3.678902512470874E-11"
"-9.587999999999862","3.68046204592138E-11"
"-9.585999999999862","3.682023492746036E-11"
"-9.583999999999861","3.683585662771726E-11"
"-9.58199999999986","3.685147827212959E-11"
"-9.57999999999986","3.6867120405777084E-11"
"-9.577999999999859","3.688277071267061E-11"
"-9.575999999999858","3.6898421802622844E-11"
"-9.573999999999858","3.691409141158748E-11"
"-9.571999999999857","3.692977123413019E-11"
"-9.569999999999856","3.69454651525357E-11"
"-9.567999999999856","3.6961157217060474E-11"
"-9.565999999999855","3.6976867336933584E-11"
"-9.563999999999854","3.6992591161400337E-11"
"-9.561999999999854","3.7008321052436953E-11"
"-9.559999999999853","3.702405653940007E-11"
"-9.557999999999852","3.70398117815886E-11"
"-9.555999999999852","3.705556510167477E-11"
"-9.553999999999851","3.707133814137561E-11"
"-9.55199999999985","3.7087112421493356E-11"
"-9.54999999999985","3.7102902262636405E-11"
"-9.547999999999849","3.7118704005286116E-11"
"-9.545999999999848","3.713451372050668E-11"
"-9.543999999999848","3.715032991073901E-11"
"-9.541999999999847","3.7166164934286764E-11"
"-9.539999999999846","3.718200143873105E-11"
"-9.537999999999846","3.719785844939958E-11"
"-9.535999999999845","3.721371024403369E-11"
"-9.533999999999844","3.722958028367138E-11"
"-9.531999999999844","3.7245457360195024E-11"
"-9.529999999999843","3.726135119586675E-11"
"-9.527999999999842","3.7277247640754614E-11"
"-9.525999999999842","3.7293164669577715E-11"
"-9.523999999999841","3.7309080728462265E-11"
