Y-coordinate,Electric Potential,,,,,
-0.532,-9.27E-08,,,,,
-0.53,-9.33E-08,,,,,
-0.528,-9.40E-08,,,,,
-0.526,-9.46E-08,,,,,
-0.524,-9.52E-08,,,,,
-0.522,-9.59E-08,,,,,
-0.52,-9.65E-08,,,,,
-0.518,-9.72E-08,,,,,
-0.516,-9.79E-08,,,,,
-0.514,-9.86E-08,,,,,
-0.512,-9.92E-08,,,,,
-0.51,-9.99E-08,,,,,
-0.508,-1.01E-07,,,,,
-0.506,-1.01E-07,,,,,
-0.504,-1.02E-07,,,,,
-0.502,-1.03E-07,,,,,
-0.5,-1.03E-07,,,,,
-0.498,-1.04E-07,,,,,
-0.496,-1.05E-07,,,,,
-0.494,-1.06E-07,,,,,
-0.492,-1.06E-07,,,,,
-0.49,-1.07E-07,,,,,
-0.488,-1.08E-07,,,,,
-0.486,-1.09E-07,,,,,
-0.484,-1.10E-07,,,,,
-0.482,-1.10E-07,,,,,
-0.48,-1.11E-07,,,,,
-0.478,-1.12E-07,,,,,
-0.476,-1.13E-07,,,,,
-0.474,-1.14E-07,,,,,
-0.472,-1.14E-07,,,,,
-0.47,-1.15E-07,,,,,
-0.468,-1.16E-07,,,,,
-0.466,-1.17E-07,,,,,
-0.464,-1.18E-07,,,,,
-0.462,-1.19E-07,,,,,
-0.46,-1.20E-07,,,,,
-0.458,-1.21E-07,,,,,
-0.456,-1.22E-07,,,,,
-0.454,-1.22E-07,,,,,
-0.452,-1.23E-07,,,,,
-0.45,-1.24E-07,,,,,
-0.448,-1.25E-07,,,,,
-0.446,-1.26E-07,,,,,
-0.444,-1.27E-07,,,,,
-0.442,-1.28E-07,,,,,
-0.44,-1.29E-07,,,,,
-0.438,-1.30E-07,,,,,
-0.436,-1.31E-07,,,,,
-0.434,-1.32E-07,,,,,
-0.432,-1.33E-07,,,,,
-0.43,-1.35E-07,,,,,
-0.428,-1.36E-07,,,,,
-0.426,-1.37E-07,,,,,
-0.424,-1.38E-07,,,,,
-0.422,-1.39E-07,,,,,
-0.42,-1.40E-07,,,,,
-0.418,-1.41E-07,,,,,
-0.416,-1.42E-07,,,,,
-0.414,-1.44E-07,,,,,
-0.412,-1.45E-07,,,,,
-0.41,-1.46E-07,,,,,
-0.408,-1.47E-07,,,,,
-0.406,-1.48E-07,,,,,
-0.404,-1.50E-07,,,,,
-0.402,-1.51E-07,,,,,
-0.4,-1.52E-07,,,,,
-0.398,-1.53E-07,,,,,
-0.396,-1.55E-07,,,,,
-0.394,-1.56E-07,,,,,
-0.392,-1.57E-07,,,,,
-0.39,-1.59E-07,,,,,
-0.388,-1.60E-07,,,,,
-0.386,-1.61E-07,,,,,
-0.384,-1.63E-07,,,,,
-0.382,-1.64E-07,,,,,
-0.38,-1.66E-07,,,,,
-0.378,-1.67E-07,,,,,
-0.376,-1.69E-07,,,,,
-0.374,-1.70E-07,,,,,
-0.372,-1.72E-07,,,,,
-0.37,-1.73E-07,,,,,
-0.368,-1.75E-07,,,,,
-0.366,-1.76E-07,,,,,
-0.364,-1.78E-07,,,,,
-0.362,-1.80E-07,,,,,
-0.36,-1.81E-07,,,,,
-0.358,-1.83E-07,,,,,
-0.356,-1.85E-07,,,,,
-0.354,-1.86E-07,,,,,
-0.352,-1.88E-07,,,,,
-0.35,-1.90E-07,,,,,
-0.348,-1.92E-07,,,,,
-0.346,-1.93E-07,,,,,
-0.344,-1.95E-07,,,,,
-0.342,-1.97E-07,,,,,
-0.34,-1.99E-07,,,,,
-0.338,-2.01E-07,,,,,
-0.336,-2.03E-07,,,,,
-0.334,-2.05E-07,,,,,
-0.332,-2.07E-07,,,,,
-0.33,-2.09E-07,,,,,
-0.328,-2.11E-07,,,,,
-0.326,-2.13E-07,,,,,
-0.324,-2.15E-07,,,,,
-0.322,-2.17E-07,,,,,
-0.32,-2.19E-07,,,,,
-0.318,-2.21E-07,,,,,
-0.316,-2.23E-07,,,,,
-0.314,-2.26E-07,,,,,
-0.312,-2.28E-07,,,,,
-0.31,-2.30E-07,,,,,
-0.308,-2.33E-07,,,,,
-0.306,-2.35E-07,,,,,
-0.304,-2.37E-07,,,,,
-0.302,-2.40E-07,,,,,
-0.3,-2.42E-07,,,,,
-0.298,-2.45E-07,,,,,
-0.296,-2.47E-07,,,,,
-0.294,-2.50E-07,,,,,
-0.292,-2.53E-07,,,,,
-0.29,-2.55E-07,,,,,
-0.288,-2.58E-07,,,,,
-0.286,-2.61E-07,,,,,
-0.284,-2.63E-07,,,,,
-0.282,-2.66E-07,,,,,
-0.28,-2.69E-07,,,,,
-0.278,-2.72E-07,,,,,
-0.276,-2.75E-07,,,,,
-0.274,-2.78E-07,,,,,
-0.272,-2.81E-07,,,,,
-0.27,-2.84E-07,,,,,
-0.268,-2.87E-07,,,,,
-0.266,-2.90E-07,,,,,
-0.264,-2.93E-07,,,,,
-0.262,-2.97E-07,,,,,
-0.26,-3.00E-07,,,,,
-0.258,-3.03E-07,,,,,
-0.256,-3.06E-07,,,,,
-0.254,-3.10E-07,,,,,
-0.252,-3.13E-07,,,,,
-0.25,-3.17E-07,,,,,
-0.248,-3.20E-07,,,,,
-0.246,-3.24E-07,,,,,
-0.244,-3.28E-07,,,,,
-0.242,-3.31E-07,,,,,
-0.24,-3.35E-07,,,,,
-0.238,-3.39E-07,,,,,
-0.236,-3.43E-07,,,,,
-0.234,-3.47E-07,,,,,
