"Y-coordinate","Electric Potential"
"-0.7459999999999998","9.517560632396549E-9"
"-0.7439999999999998","9.569603466671222E-9"
"-0.7419999999999998","9.622074107997967E-9"
"-0.7399999999999998","9.674977271290111E-9"
"-0.7379999999999998","9.728317700290937E-9"
"-0.7359999999999998","9.782100214811303E-9"
"-0.7339999999999998","9.836329753050192E-9"
"-0.7319999999999998","9.89101123577381E-9"
"-0.7299999999999998","9.946149738319357E-9"
"-0.7279999999999998","1.0001750329264688E-8"
"-0.7259999999999998","1.0057818201824735E-8"
"-0.7239999999999998","1.0114358604328858E-8"
"-0.7219999999999998","1.0171376849780594E-8"
"-0.7199999999999998","1.0228878341557206E-8"
"-0.7179999999999997","1.0286868560505085E-8"
"-0.7159999999999997","1.034535303497991E-8"
"-0.7139999999999997","1.0404337403822759E-8"
