Z-coordinate,Electric Potential
-0.018708,-1.937161545
-0.018704,-1.937109097
-0.0187,-1.937056516
-0.018696,-1.937003808
-0.018692,-1.936950976
-0.018688,-1.936898029
-0.018684,-1.93684497
-0.01868,-1.936791807
-0.018676,-1.936738547
-0.018672,-1.936685196
-0.018668,-1.936631761
-0.018664,-1.93657825
-0.01866,-1.93652467
-0.018656,-1.936471029
-0.018652,-1.936417335
-0.018648,-1.936363596
-0.018644,-1.936309821
-0.01864,-1.936256017
-0.018636,-1.936202193
-0.018632,-1.936148359
-0.018628,-1.936094522
-0.018624,-1.936040692
-0.01862,-1.935986876
-0.018616,-1.935933085
-0.018612,-1.935879326
-0.018608,-1.935825609
-0.018604,-1.935771942
-0.0186,-1.935718334
-0.018596,-1.935664794
-0.018592,-1.93561133
-0.018588,-1.93555795
-0.018584,-1.935504663
-0.01858,-1.935451478
-0.018576,-1.935398401
-0.018572,-1.935345441
-0.018568,-1.935292606
-0.018564,-1.935239902
-0.01856,-1.935187337
-0.018556,-1.935134919
-0.018552,-1.935082653
-0.018548,-1.935030546
-0.018544,-1.934978605
-0.01854,-1.934926835
-0.018536,-1.934875242
-0.018532,-1.934823832
-0.018528,-1.93477261
-0.018524,-1.93472158
-0.01852,-1.934670748
-0.018516,-1.934620117
-0.018512,-1.934569692
-0.018508,-1.934519476
-0.018504,-1.934469474
-0.0185,-1.934419688
-0.018496,-1.934370121
-0.018492,-1.934320777
-0.018488,-1.934271657
-0.018484,-1.934222765
-0.01848,-1.934174103
-0.018476,-1.934125672
-0.018472,-1.934077474
-0.018468,-1.934029512
-0.018464,-1.933981787
-0.01846,-1.9339343
-0.018456,-1.933887054
-0.018452,-1.933840048
-0.018448,-1.933793285
-0.018444,-1.933746766
-0.01844,-1.933700492
-0.018436,-1.933654465
-0.018432,-1.933608686
-0.018428,-1.933563157
-0.018424,-1.933517878
-0.01842,-1.933472852
-0.018416,-1.933428081
-0.018412,-1.933383566
-0.018408,-1.93333931
-0.018404,-1.933295315
-0.0184,-1.933251583
-0.018396,-1.933208118
-0.018392,-1.933164922
-0.018388,-1.933121999
-0.018384,-1.933079352
-0.01838,-1.933036985
-0.018376,-1.932994903
-0.018372,-1.932953109
-0.018368,-1.932911609
-0.018364,-1.932870409
-0.01836,-1.932829512
-0.018356,-1.932788925
-0.018352,-1.932748655
-0.018348,-1.932708708
-0.018344,-1.932669091
-0.01834,-1.93262981
-0.018336,-1.932590874
-0.018332,-1.93255229
-0.018328,-1.932514066
-0.018324,-1.932476211
-0.01832,-1.932438733
-0.018316,-1.932401642
-0.018312,-1.932364947
-0.018308,-1.932328657
-0.018304,-1.932292782
-0.0183,-1.932257331
-0.018296,-1.932222315
-0.018292,-1.932187743
-0.018288,-1.932153627
-0.018284,-1.932119976
-0.01828,-1.932086801
-0.018276,-1.932054112
-0.018272,-1.932021919
-0.018268,-1.931990234
-0.018264,-1.931959065
-0.01826,-1.931928425
-0.018256,-1.931898321
-0.018252,-1.931868766
-0.018248,-1.931839767
-0.018244,-1.931811335
-0.01824,-1.931783479
-0.018236,-1.931756208
-0.018232,-1.93172953
-0.018228,-1.931703454
-0.018224,-1.931677987
-0.01822,-1.931653137
-0.018216,-1.931628911
-0.018212,-1.931605316
-0.018208,-1.931582357
-0.018204,-1.93156004
-0.0182,-1.931538371
-0.018196,-1.931517353
-0.018192,-1.93149699
-0.018188,-1.931477286
-0.018184,-1.931458243
-0.01818,-1.931439863
-0.018176,-1.931422149
-0.018172,-1.9314051
-0.018168,-1.931388716
-0.018164,-1.931372998
-0.01816,-1.931357944
-0.018156,-1.931343552
-0.018152,-1.93132982
-0.018148,-1.931316745
-0.018144,-1.931304323
-0.01814,-1.931292549
-0.018136,-1.931281419
-0.018132,-1.931270928
-0.018128,-1.931261068
-0.018124,-1.931251834
-0.01812,-1.931243217
-0.018116,-1.931235211
-0.018112,-1.931227807
-0.018108,-1.931220995
-0.018104,-1.931214768
-0.0181,-1.931209114
-0.018096,-1.931204025
-0.018092,-1.931199488
-0.018088,-1.931195494
-0.018084,-1.931192032
-0.01808,-1.931189088
-0.018076,-1.931186653
-0.018072,-1.931184713
-0.018068,-1.931183256
-0.018064,-1.93118227
-0.01806,-1.931181742
-0.018056,-1.931181658
-0.018052,-1.931182008
-0.018048,-1.931182776
-0.018044,-1.93118395
-0.01804,-1.931185517
-0.018036,-1.931187463
