Z-coordinate,Electric Potential
-0.017988,-2.009689179
-0.017984,-2.009874078
-0.01798,-2.010106492
-0.017976,-2.010358794
-0.017972,-2.010604456
-0.017968,-2.010819864
-0.017964,-2.010984959
-0.01796,-2.011084321
-0.017956,-2.011109329
-0.017952,-2.011060413
-0.017948,-2.010947629
-0.017944,-2.010788421
-0.01794,-2.01060305
-0.017936,-2.010409674
-0.017932,-2.010221376
-0.017928,-2.010046396
-0.017924,-2.009891044
-0.01792,-2.009763496
-0.017916,-2.009676532
-0.017912,-2.009648112
-0.017908,-2.009699763
-0.017904,-2.009853354
-0.0179,-2.010127073
-0.017896,-2.010531418
-0.017892,-2.011065993
-0.017888,-2.011717746
-0.017884,-2.012461011
-0.01788,-2.013259496
-0.017876,-2.01407014
-0.017872,-2.014848612
-0.017868,-2.015555817
-0.017864,-2.016164028
-0.01786,-2.016660554
-0.017856,-2.017046777
-0.017852,-2.017331796
-0.017848,-2.017522465
-0.017844,-2.017614123
-0.01784,-2.017586856
-0.017836,-2.017410078
-0.017832,-2.017054269
-0.017828,-2.016505136
-0.017824,-2.015774201
-0.01782,-2.014901552
-0.017816,-2.013950079
-0.017812,-2.012993897
-0.017808,-2.012105297
-0.017804,-2.011343992
-0.0178,-2.010750441
-0.017796,-2.010342993
-0.017792,-2.010117588
-0.017788,-2.01004919
-0.017784,-2.010095223
-0.01778,-2.010201695
-0.017776,-2.010311893
-0.017772,-2.010376037
-0.017768,-2.010359465
-0.017764,-2.010247276
-0.01776,-2.010044517
-0.017756,-2.009772266
-0.017752,-2.00946084
-0.017748,-2.009141977
-0.017744,-2.008842251
-0.01774,-2.008579791
-0.017736,-2.008365202
-0.017732,-2.008205435
-0.017728,-2.008107578
-0.017724,-2.008079521
-0.01772,-2.0081266
-0.017716,-2.008246161
-0.017712,-2.008423391
-0.017708,-2.008631058
-0.017704,-2.008833821
-0.0177,-2.008995876
-0.017696,-2.009089613
-0.017692,-2.009102666
-0.017688,-2.009041126
-0.017684,-2.008927964
-0.01768,-2.008797364
-0.017676,-2.008687061
-0.017672,-2.008631121
-0.017668,-2.008654818
-0.017664,-2.008772088
-0.01766,-2.008985021
-0.017656,-2.009284568
-0.017652,-2.00965184
