"X-coordinate","Electric Potential"
"-9.140000000000018","-4.629420253378445E-6"
"-9.120000000000019","-4.6496723442155286E-6"
"-9.10000000000002","-4.670057353625194E-6"
"-9.08000000000002","-4.690576831273877E-6"
"-9.06000000000002","-4.711231518011957E-6"
"-9.04000000000002","-4.73202319052595E-6"
"-9.020000000000021","-4.752952811680413E-6"
"-9.000000000000021","-4.774021613641157E-6"
"-8.980000000000022","-4.795230955195293E-6"
"-8.960000000000022","-4.816581666644492E-6"
"-8.940000000000023","-4.8380752374322944E-6"
"-8.920000000000023","-4.859713184172134E-6"
"-8.900000000000023","-4.881496737801738E-6"
"-8.880000000000024","-4.903427033094018E-6"
"-8.860000000000024","-4.9255054992228334E-6"
"-8.840000000000025","-4.947732942197189E-6"
"-8.820000000000025","-4.970111415595581E-6"
"-8.800000000000026","-4.992642286848489E-6"
"-8.780000000000026","-5.015326631886063E-6"
"-8.760000000000026","-5.038165694862551E-6"
"-8.740000000000027","-5.061161311237056E-6"
"-8.720000000000027","-5.084314607922748E-6"
"-8.700000000000028","-5.107627564497301E-6"
"-8.680000000000028","-5.1311007609087114E-6"
"-8.660000000000029","-5.154736513112677E-6"
"-8.640000000000029","-5.1785354786604034E-6"
"-8.62000000000003","-5.202499936056875E-6"
"-8.60000000000003","-5.2266312977623165E-6"
"-8.58000000000003","-5.250930731181582E-6"
"-8.56000000000003","-5.275399907304098E-6"
"-8.540000000000031","-5.300040561927034E-6"
"-8.520000000000032","-5.3248544623917695E-6"
"-8.500000000000032","-5.349842871858616E-6"
"-8.480000000000032","-5.375007606932662E-6"
"-8.460000000000033","-5.400350399083542E-6"
"-8.440000000000033","-5.4258727276845075E-6"
"-8.420000000000034","-5.451576553459218E-6"
"-8.400000000000034","-5.477463286201198E-6"
"-8.380000000000035","-5.503534953605617E-6"
"-8.360000000000035","-5.529793379622672E-6"
"-8.340000000000035","-5.5562398128394125E-6"
"-8.320000000000036","-5.582876600907796E-6"
"-8.300000000000036","-5.609705460291442E-6"
"-8.280000000000037","-5.636728151548028E-6"
"-8.260000000000037","-5.663946578605257E-6"
"-8.240000000000038","-5.6913623989319374E-6"
"-8.220000000000038","-5.718977894003849E-6"
"-8.200000000000038","-5.7467952602197965E-6"
"-8.180000000000039","-5.774815438221868E-6"
"-8.16000000000004","-5.803041509798875E-6"
"-8.14000000000004","-5.8314748978673E-6"
"-8.12000000000004","-5.860117583057454E-6"
"-8.10000000000004","-5.888972031642505E-6"
"-8.080000000000041","-5.91804018022888E-6"
"-8.060000000000041","-5.9473237869882675E-6"
"-8.040000000000042","-5.976825555108761E-6"
"-8.020000000000042","-6.006547371137751E-6"
"-8.000000000000043","-6.036491168243032E-6"
"-7.980000000000043","-6.066659792748799E-6"
"-7.9600000000000435","-6.097055257566427E-6"
"-7.940000000000044","-6.12767914828088E-6"
"-7.920000000000044","-6.158534607640717E-6"
"-7.900000000000045","-6.1896239618239725E-6"
"-7.880000000000045","-6.2209487639006256E-6"
"-7.860000000000046","-6.2525124470786205E-6"
"-7.840000000000046","-6.2843168454603185E-6"
"-7.8200000000000465","-6.316364518325772E-6"
"-7.800000000000047","-6.3486578305902875E-6"
"-7.780000000000047","-6.381199480061782E-6"
"-7.760000000000048","-6.41399217570619E-6"
"-7.740000000000048","-6.447038137571704E-6"
"-7.720000000000049","-6.4803403414108645E-6"
"-7.700000000000049","-6.513901092652935E-6"
"-7.6800000000000495","-6.5477230831174614E-6"
"-7.66000000000005","-6.581809230380894E-6"
"-7.64000000000005","-6.616162573073671E-6"
"-7.620000000000051","-6.650785205090528E-6"
"-7.600000000000051","-6.685680541159671E-6"
"-7.580000000000052","-6.720850950266627E-6"
"-7.560000000000052","-6.756299951702174E-6"
"-7.540000000000052","-6.792029988066698E-6"
"-7.520000000000053","-6.828044208845676E-6"
"-7.500000000000053","-6.864345616201299E-6"
"-7.480000000000054","-6.900937031849301E-6"
"-7.460000000000054","-6.937822449495115E-6"
"-7.440000000000055","-6.975003766703798E-6"
"-7.420000000000055","-7.012485164130241E-6"
"-7.400000000000055","-7.0502693998169494E-6"
"-7.380000000000056","-7.088359646290594E-6"
"-7.360000000000056","-7.126759912882513E-6"
