"X-coordinate","Z-coordinate","Electric Potential"
"-0.092","-0.092","-39997.9066957873"
"-0.088","-0.092","-39997.9116267419"
"-0.08399999999999999","-0.092","-39997.91655012604"
"-0.07999999999999999","-0.092","-39997.92146593731"
"-0.07599999999999998","-0.092","-39997.92637417344"
"-0.07199999999999998","-0.092","-39997.9312748324"
"-0.06799999999999998","-0.092","-39997.93616791196"
"-0.06399999999999997","-0.092","-39997.94105340948"
"-0.05999999999999997","-0.092","-39997.94593132376"
"-0.055999999999999966","-0.092","-39997.95080165164"
"-0.05199999999999996","-0.092","-39997.95566439238"
"-0.04799999999999996","-0.092","-39997.96051954353"
"-0.043999999999999956","-0.092","-39997.96536710271"
"-0.03999999999999995","-0.092","-39997.97020706887"
"-0.03599999999999995","-0.092","-39997.97503943974"
"-0.031999999999999945","-0.092","-39997.97986421441"
"-0.027999999999999945","-0.092","-39997.984681390255"
"-0.023999999999999945","-0.092","-39997.989490966196"
"-0.019999999999999945","-0.092","-39997.99429294083"
"-0.015999999999999945","-0.092","-39997.99908731226"
"-0.011999999999999945","-0.092","-39998.003874079084"
"-0.007999999999999945","-0.092","-39998.00865324037"
"-0.003999999999999945","-0.092","-39998.01342479415"
"5.551115123125783E-17","-0.092","-39998.018188739545"
"0.004000000000000056","-0.092","-39998.02294507551"
"0.008000000000000056","-0.092","-39998.02769380039"
"0.012000000000000056","-0.092","-39998.0324349138"
"0.016000000000000056","-0.092","-39998.03716841365"
"0.020000000000000056","-0.092","-39998.04189430001"
"0.024000000000000056","-0.092","-39998.04661257115"
"0.028000000000000056","-0.092","-39998.05132322625"
"0.032000000000000056","-0.092","-39998.05602626468"
"0.03600000000000006","-0.092","-39998.06072168591"
"0.04000000000000006","-0.092","-39998.0654094884"
"0.04400000000000007","-0.092","-39998.070089672474"
"0.04800000000000007","-0.092","-39998.07476223638"
"0.052000000000000074","-0.092","-39998.07942718093"
"0.05600000000000008","-0.092","-39998.08408450409"
"0.06000000000000008","-0.092","-39998.08873420655"
"0.06400000000000008","-0.092","-39998.09337628696"
"0.06800000000000009","-0.092","-39998.09801074553"
"0.07200000000000009","-0.092","-39998.10263758208"
"0.0760000000000001","-0.092","-39998.107256795876"
"0.0800000000000001","-0.092","-39998.111868387336"
"0.0840000000000001","-0.092","-39998.11647235577"
"0.0880000000000001","-0.092","-39998.12106870076"
"0.09200000000000011","-0.092","-39998.125657423"
"0.09600000000000011","-0.092","-39998.1302385223"
"-0.1","-0.088","-39997.98270718485"
"-0.096","-0.088","-39997.98765468973"
"-0.092","-0.088","-39997.992594639036"
"-0.088","-0.088","-39997.99752703014"
"-0.08399999999999999","-0.088","-39998.00245186034"
"-0.07999999999999999","-0.088","-39998.00736912804"
"-0.07599999999999998","-0.088","-39998.012278830574"
"-0.07199999999999998","-0.088","-39998.01718096557"
"-0.06799999999999998","-0.088","-39998.02207553073"
