"X-coordinate","Y-coordinate","Electric Potential"
"-0.03999999999999995","-0.092","55.12472852541027"
"-0.03599999999999995","-0.092","56.976857744586425"
"-0.031999999999999945","-0.092","58.74742034197032"
"-0.027999999999999945","-0.092","60.43132049475905"
"-0.023999999999999945","-0.092","62.01964290722969"
"-0.019999999999999945","-0.092","63.49706799545273"
"-0.015999999999999945","-0.092","64.8411219588877"
"-0.011999999999999945","-0.092","66.02450393449884"
"-0.007999999999999945","-0.092","67.01973998212294"
"-0.003999999999999945","-0.092","67.80346187897574"
"5.551115123125783E-17","-0.092","68.35824478363539"
"0.004000000000000056","-0.092","68.67298747048402"
"0.008000000000000056","-0.092","68.74431077423817"
"0.012000000000000056","-0.092","68.57891394112725"
"0.016000000000000056","-0.092","68.19380816309486"
"0.020000000000000056","-0.092","67.61252833289032"
