Z-coordinate,Electric Potential,,,,,,,,,,,,,
0.005189167,-0.00159088,,,,,,,,,,,,,
0.00519,-0.001590427,,,,,,,,,,,,,
0.005190833,-0.001589975,,,,,,,,,,,,,
0.005191667,-0.001589523,,,,,,,,,,,,,
0.0051925,-0.001589071,,,,,,,,,,,,,
0.005193333,-0.001588619,,,,,,,,,,,,,
0.005194167,-0.001588167,,,,,,,,,,,,,
0.005195,-0.001587716,,,,,,,,,,,,,
0.005195833,-0.001587265,,,,,,,,,,,,,
0.005196667,-0.001586814,,,,,,,,,,,,,
0.0051975,-0.001586364,,,,,,,,,,,,,
0.005198333,-0.001585913,,,,,,,,,,,,,
0.005199167,-0.001585463,,,,,,,,,,,,,
0.0052,-0.001585013,,,,,,,,,,,,,
0.005200833,-0.001584563,,,,,,,,,,,,,
0.005201667,-0.001584114,,,,,,,,,,,,,
0.0052025,-0.001583664,,,,,,,,,,,,,
0.005203333,-0.001583215,,,,,,,,,,,,,
0.005204167,-0.001582766,,,,,,,,,,,,,
0.005205,-0.001582318,,,,,,,,,,,,,
0.005205833,-0.001581869,,,,,,,,,,,,,
0.005206667,-0.001581421,,,,,,,,,,,,,
0.0052075,-0.001580973,,,,,,,,,,,,,
0.005208333,-0.001580525,,,,,,,,,,,,,
0.005209167,-0.001580077,,,,,,,,,,,,,
0.00521,-0.00157963,,,,,,,,,,,,,
0.005210833,-0.001579183,,,,,,,,,,,,,
0.005211667,-0.001578736,,,,,,,,,,,,,
0.0052125,-0.001578289,,,,,,,,,,,,,
0.005213333,-0.001577842,,,,,,,,,,,,,
0.005214167,-0.001577396,,,,,,,,,,,,,
0.005215,-0.00157695,,,,,,,,,,,,,
0.005215833,-0.001576504,,,,,,,,,,,,,
0.005216667,-0.001576058,,,,,,,,,,,,,
0.0052175,-0.001575613,,,,,,,,,,,,,
0.005218333,-0.001575167,,,,,,,,,,,,,
0.005219167,-0.001574722,,,,,,,,,,,,,
0.00522,-0.001574277,,,,,,,,,,,,,
0.005220833,-0.001573832,,,,,,,,,,,,,
0.005221667,-0.001573388,,,,,,,,,,,,,
0.0052225,-0.001572944,,,,,,,,,,,,,
0.005223333,-0.0015725,,,,,,,,,,,,,
0.005224167,-0.001572056,,,,,,,,,,,,,
0.005225,-0.001571612,,,,,,,,,,,,,
0.005225833,-0.001571169,,,,,,,,,,,,,
0.005226667,-0.001570726,,,,,,,,,,,,,
0.0052275,-0.001570282,,,,,,,,,,,,,
0.005228333,-0.00156984,,,,,,,,,,,,,
0.005229167,-0.001569397,,,,,,,,,,,,,
0.00523,-0.001568955,,,,,,,,,,,,,
0.005230833,-0.001568513,,,,,,,,,,,,,
0.005231667,-0.001568071,,,,,,,,,,,,,
0.0052325,-0.001567629,,,,,,,,,,,,,
0.005233333,-0.001567187,,,,,,,,,,,,,
0.005234167,-0.001566746,,,,,,,,,,,,,
0.005235,-0.001566305,,,,,,,,,,,,,
0.005235833,-0.001565864,,,,,,,,,,,,,
0.005236667,-0.001565423,,,,,,,,,,,,,
0.0052375,-0.001564983,,,,,,,,,,,,,
0.005238333,-0.001564542,,,,,,,,,,,,,
0.005239167,-0.001564102,,,,,,,,,,,,,
0.00524,-0.001563662,,,,,,,,,,,,,
0.005240833,-0.001563223,,,,,,,,,,,,,
0.005241667,-0.001562783,,,,,,,,,,,,,
0.0052425,-0.001562344,,,,,,,,,,,,,
0.005243333,-0.001561905,,,,,,,,,,,,,
0.005244167,-0.001561466,,,,,,,,,,,,,
0.005245,-0.001561027,,,,,,,,,,,,,
0.005245833,-0.001560589,,,,,,,,,,,,,
0.005246667,-0.00156015,,,,,,,,,,,,,
0.0052475,-0.001559712,,,,,,,,,,,,,
0.005248333,-0.001559275,,,,,,,,,,,,,
0.005249167,-0.001558837,,,,,,,,,,,,,
0.00525,-0.0015584,,,,,,,,,,,,,
