"X","Y","Z","Vx","Vy","Vz","Polarity","Time","Mass","Electric Potential Energy","Kinetic Energy"
"49.99999785055428","49.99999781392017","-1.074257382280646E-6","-3.0706367918336906E7","-3.1229712409539804E7","-1.534653397341494E7","1","1.5E-13","3.3434059999999994E-27","987.8688723692394","8.358514371865055E-24","987.8688723692394"
"49.9999975434906","49.99999750162304","-1.2277227220147953E-6","-3.275345927644862E7","-3.3311693381273925E7","-1.6369636221318087E7","1","1.6E-13","3.3434059999999994E-27","987.8689820323657","8.358514275228907E-24","987.8689820323657"
"49.99999721595601","49.999997168506106","-1.391419084227976E-6","-3.480055066741754E7","-3.5393674382023305E7","-1.7392738465807833E7","1","1.7E-13","3.3434059999999994E-27","987.8690995284167","8.358514171690185E-24","987.8690995284167"
"49.9999968679505","49.999996814569364","-1.5653464688860543E-6","-3.684764209343417E7","-3.7475655413722284E7","-1.841584070665662E7","1","1.8000000000000002E-13","3.3434059999999994E-27","987.8692248577333","8.358514061248874E-24","987.8692248577333"
"49.99999649947408","49.99999643981281","-1.7495048759526206E-6","-3.889473355668897E7","-3.955763647830523E7","-1.9438942943636876E7","1","1.9000000000000002E-13","3.3434059999999994E-27","987.8693580201569","8.358513943904988E-24","987.8693580201569"
"49.999996110526745","49.99999604423645","-1.9438943053889894E-6","-4.094182505937244E7","-4.163961757770648E7","-2.0462045176521044E7","1","2.0000000000000003E-13","3.3434059999999994E-27","987.8694990154507","8.358513819658516E-24","987.8694990154507"
"49.999995701108496","49.99999562784027","-2.1485147571541997E-6","-4.298891660367506E7","-4.372159871386039E7","-2.1485147405081566E7","1","2.1000000000000004E-13","3.3434059999999994E-27","987.8696478440468","8.358513688509465E-24","987.8696478440468"
"49.99999527121933","49.99999519062428","-2.3633662312050155E-6","-4.503600819178731E7","-4.580357988870134E7","-2.250824962909088E7","1","2.2000000000000005E-13","3.3434059999999994E-27","987.8698045056","8.358513550457833E-24","987.8698045056"
"49.99999482085925","49.99999473258848","-2.588448727495924E-6","-4.708309982589967E7","-4.788556110416368E7","-2.3531351848321427E7","1","2.3000000000000003E-13","3.3434059999999994E-27","987.8699690002868","8.35851340550362E-24","987.8699690002868"
"49.99999435002825","49.99999425373287","-2.8237622459791384E-6","-4.913019150820262E7","-4.996754236218172E7","-2.4554454062545646E7","1","2.4000000000000004E-13","3.3434059999999994E-27","987.8701413280303","8.358513253646825E-24","987.8701413280303"
"49.999993858726334","49.99999375405745","-3.069306786604595E-6","-5.1177283240886666E7","-5.204952366468986E7","-2.5577556271535978E7","1","2.5000000000000005E-13","3.3434059999999994E-27","987.8703214887587","8.35851309488745E-24","987.8703214887587"
