"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"-4.3005777365266416E12","-4.309270427264083E12","2.1269556987571286E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","15.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-4.60534308793964E12","-4.614651796130916E12","2.2776848427847992E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","16.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-4.910108439352639E12","-4.920033164997748E12","2.42841398681247E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","17.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-5.214873790765637E12","-5.225414533864581E12","2.5791431308401407E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","18.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-5.519639142178635E12","-5.530795902731414E12","2.7298722748678113E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","19.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-5.824404493591633E12","-5.836177271598246E12","2.8806014188954816E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","20.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-6.129169845004631E12","-6.141558640465079E12","3.0313305629231525E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","21.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-6.433935196417629E12","-6.446940009331912E12","3.1820597069508234E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","22.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-6.738700547830627E12","-6.752321378198745E12","3.3327888509784937E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","23.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-7.043465899243626E12","-7.057702747065577E12","3.4835179950061646E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","24.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-7.348231250656624E12","-7.36308411593241E12","3.634247139033835E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","25.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-7.652996602069622E12","-7.668465484799243E12","3.784976283061506E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","26.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-7.95776195348262E12","-7.973846853666076E12","3.935705427089176E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","27.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-8.262527304895618E12","-8.279228222532908E12","4.086434571116847E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","28.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-8.567292656308616E12","-8.584609591399741E12","4.237163715144517E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","29.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-8.872058007721615E12","-8.889990960266572E12","4.387892859172188E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","30.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-9.176823359134613E12","-9.195372329133406E12","4.5386220031998584E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","31.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
"-9.481588710547611E12","-9.500753698000238E12","4.689351147227529E11","-1.015884504709994E11","-1.0179378962227753E11","5.024304800922349E9","1","1.602E-19","32.0","3.3434059999999994E-27","-3.820355233191535E-17","0.0","-3.820355233191535E-17"
