X,Y,Z,Vx,Vy,Vz,Polarity,Charge,Time,Mass,Electric Potential Energy,Kinetic Energy,Total Energy,7.59997E-11
70.00000075,70.00000069,70.0000005,11856.97376,10859.97259,7841.786946,1,1.60E-19,1.27E-10,3.34E-27,257.1314326,3.34E-06,257.1314359,
70.00000076,70.0000007,70.00000051,11950.33576,10945.48418,7903.533299,1,1.60E-19,1.28E-10,3.34E-27,257.1314325,3.39E-06,257.1314359,
70.00000078,70.00000071,70.00000051,12043.69776,11030.99578,7965.279652,1,1.60E-19,1.29E-10,3.34E-27,257.1314325,3.45E-06,257.1314359,
70.00000079,70.00000072,70.00000052,12137.05976,11116.50737,8027.026004,1,1.60E-19,1.30E-10,3.34E-27,257.1314324,3.50E-06,257.1314359,
70.0000008,70.00000073,70.00000053,12230.42175,11202.01897,8088.772357,1,1.60E-19,1.31E-10,3.34E-27,257.1314324,3.55E-06,257.1314359,
70.00000081,70.00000074,70.00000054,12323.78375,11287.53056,8150.51871,1,1.60E-19,1.32E-10,3.34E-27,257.1314323,3.61E-06,257.1314359,
70.00000083,70.00000076,70.00000055,12417.14575,11373.04215,8212.265062,1,1.60E-19,1.33E-10,3.34E-27,257.1314323,3.66E-06,257.1314359,
70.00000084,70.00000077,70.00000055,12510.50774,11458.55375,8274.011415,1,1.60E-19,1.34E-10,3.34E-27,257.1314322,3.72E-06,257.1314359,
70.00000085,70.00000078,70.00000056,12603.86974,11544.06534,8335.757768,1,1.60E-19,1.35E-10,3.34E-27,257.1314321,3.77E-06,257.1314359,
70.00000086,70.00000079,70.00000057,12697.23174,11629.57694,8397.50412,1,1.60E-19,1.36E-10,3.34E-27,257.1314321,3.83E-06,257.1314359,
70.00000088,70.0000008,70.00000058,12790.59374,11715.08853,8459.250473,1,1.60E-19,1.37E-10,3.34E-27,257.131432,3.89E-06,257.1314359,
70.00000089,70.00000081,70.00000059,12883.95573,11800.60013,8520.996825,1,1.60E-19,1.38E-10,3.34E-27,257.131432,3.94E-06,257.1314359,
70.0000009,70.00000083,70.0000006,12977.31773,11886.11172,8582.743178,1,1.60E-19,1.39E-10,3.34E-27,257.1314319,4.00E-06,257.1314359,
70.00000091,70.00000084,70.00000061,13070.67973,11971.62331,8644.48953,1,1.60E-19,1.40E-10,3.34E-27,257.1314319,4.06E-06,257.1314359,
70.00000093,70.00000085,70.00000061,13164.04172,12057.13491,8706.235883,1,1.60E-19,1.41E-10,3.34E-27,257.1314318,4.12E-06,257.1314359,
70.00000094,70.00000086,70.00000062,13257.40372,12142.6465,8767.982235,1,1.60E-19,1.42E-10,3.34E-27,257.1314317,4.17E-06,257.1314359,
70.00000095,70.00000087,70.00000063,13350.76572,12228.1581,8829.728587,1,1.60E-19,1.43E-10,3.34E-27,257.1314317,4.23E-06,257.1314359,
70.00000097,70.00000089,70.00000064,13444.12772,12313.66969,8891.47494,1,1.60E-19,1.44E-10,3.34E-27,257.1314316,4.29E-06,257.1314359,
70.00000098,70.0000009,70.00000065,13537.48971,12399.18128,8953.221292,1,1.60E-19,1.45E-10,3.34E-27,257.1314316,4.35E-06,257.1314359,
70.000001,70.00000091,70.00000066,13630.85171,12484.69288,9014.967644,1,1.60E-19,1.46E-10,3.34E-27,257.1314315,4.41E-06,257.1314359,
70.00000101,70.00000092,70.00000067,13724.21371,12570.20447,9076.713997,1,1.60E-19,1.47E-10,3.34E-27,257.1314314,4.47E-06,257.1314359,
