"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"7.318025448620027E-5","19.890847160751772","19.878095693967065","146.76167276436908","-218660.1323522525","-244223.220071174","1","1.602E-19","1.1E-6","3.3434059999999994E-27","3.983485575393942E-15","1.482950872774817E-22","3.983485723689029E-15"
"8.785642176263719E-5","19.86898114751655","19.853673371959946","160.2684319737396","-238681.78453153","-266593.68719972955","1","1.602E-19","1.2E-6","3.3434059999999994E-27","3.989808408020388E-15","1.7963661763022666E-22","3.989808587657005E-15"
"1.0388326496001115E-4","19.845112969063397","19.827014003239974","173.82212064713272","-258743.02983455776","-289010.94947955245","1","1.602E-19","1.2999999999999998E-6","3.3434059999999994E-27","3.996781767794728E-15","2.1404688158060373E-22","3.99678198184161E-15"
"1.2126547702472442E-4","19.81923866607994","19.798112908292023","187.42774647428513","-278847.5289363874","-311479.486582488","1","1.602E-19","1.3999999999999997E-6","3.3434059999999994E-27","4.0044110129804756E-15","2.5155003487815183E-22","4.004411264530511E-15"
"1.4000825167215293E-4","19.791353913186303","19.766964959633775","201.09052617258467","-298998.9569770191","-334003.839613719","1","1.602E-19","1.4999999999999996E-6","3.3434059999999994E-27","4.012702036685735E-15","2.921726442330767E-22","4.01270232885838E-15"
"1.6011730428941142E-4","19.7614540174886","19.7335645756724","214.81590968165457","-319201.0039572991","-356588.61724141403","1","1.602E-19","1.5999999999999995E-6","3.3434059999999994E-27","4.0216612769599925E-15","3.359437323966882E-22","4.021661612903725E-15"
"1.8159889525757686E-4","19.729533917092866","19.69790571394826","228.6096061768423","-339457.3748835113","-379238.50207938673","1","1.602E-19","1.6999999999999994E-6","3.3434059999999994E-27","4.031295727836949E-15","3.8289482750398185E-22","4.031296110731776E-15"
"2.0445985587526111E-4","19.695588179604517","19.659981863740324","242.47761212494208","-359771.7896223909","-401958.2573526206","1","1.602E-19","1.7999999999999993E-6","3.3434059999999994E-27","4.041612951338905E-15","4.330600167560911E-22","4.041613384398922E-15"
"2.287076170877553E-4","19.659611000642276","19.61978603800506","256.42624162675475","-380147.98242296337","-424752.7338782631","1","1.602E-19","1.8999999999999992E-6","3.3434059999999994E-27","4.052621090460949E-15","4.864760045227523E-22","4.052621576936954E-15"
"2.543502412504308E-4","19.621596202399978","19.577310764617234","270.4621593150218","-400589.70105543645","-447626.87739785487","1","1.602E-19","1.999999999999999E-6","3.3434059999999994E-27","4.064328883150986E-15","5.431821749459933E-22","4.064329426333161E-15"
"2.81396457181933E-4","19.581537232294433","19.53254807687745","284.59241610292696","-421100.70551024843","-470585.736300166","1","1.602E-19","2.099999999999999E-6","3.3434059999999994E-27","4.0767456773034516E-15","6.032206591256945E-22","4.076746280524111E-15"
"3.098556987922257E-4","19.539427161743408","19.485489503247432","298.82448810814475","-441684.7661921264","-493634.4697781386","1","1.602E-19","2.199999999999999E-6","3.3434059999999994E-27","4.089881446781517E-15","6.666364069651261E-22","4.0898821134179234E-15"
"3.3973814760304016E-4","19.495258685124195","19.436126056269618","313.1663191104273","-462345.6615344671","-516778.35646815354","1","1.602E-19","2.2999999999999987E-6","3.3434059999999994E-27","4.103746808483269E-15","7.3347726374962365E-22","4.103747541960533E-15"
"3.7105477951408295E-4","19.449024118970748","19.384448220622804","327.6263669372888","-483087.17494830536","-540022.8036252318","1","1.602E-19","2.3999999999999986E-6","3.3434059999999994E-27","4.118353040463645E-15","8.037940515237094E-22","4.1183538442576965E-15"
"4.038174162078118E-4","19.400715401475917","19.33044594026028","342.2136542126497","-503913.09100733313","-563373.356893953","1","1.602E-19","2.4999999999999985E-6","3.3434059999999994E-27","4.133712101121938E-15","8.776406553205889E-22","4.133712978762594E-15"
"4.380387816290768E-4","19.350324092375182","19.274108604570884","356.93782394754135","-524827.1907555806","-586835.710741924","1","1.602E-19","2.5999999999999984E-6","3.3434059999999994E-27","4.149836649459515E-15","9.550741142823033E-22","4.1498376045336294E-15"
"4.7373256402383093E-4","19.297841373299622","19.215425033496693","371.80920050025657","-545833.2460071121","-610415.7196307175","1","1.602E-19","2.6999999999999983E-6","3.3434059999999994E-27","4.166740066409027E-15","1.0361547176879968E-21","4.166741102563745E-15"
"5.109134840738565E-4","19.243258048698912","19.15438346153362","386.83885648574824","-566935.0124870257","-634119.4100084377","1","1.602E-19","2.799999999999998E-6","3.3434059999999994E-27","4.184436477227152E-15","1.120946105880666E-21","4.184437598173258E-15"
"5.495973697224315E-4","19.18656454745021","19.09097152053278","402.0386862704509","-588136.221639645","-657952.993218665","1","1.602E-19","2.899999999999998E-6","3.3434059999999994E-27","4.2029407749361814E-15","1.2095153760480353E-21","4.202941984451557E-15"
"5.898012383494765E-4","19.127750925286247","19.025176221210913","417.4214867487803","-609440.5709025111","-681922.8794326561","1","1.602E-19","2.999999999999998E-6","3.3434059999999994E-27","4.2222686447878975E-15","1.3019331927692231E-21","4.22226994672109E-15"
"6.315433870243544E-4","19.066806868195997","18.956983933267647","433.00104616068677","-630851.7122128531","-706035.6927255661","1","1.602E-19","3.099999999999998E-6","3.3434059999999994E-27","4.2424365897098074E-15","1.3982739031836151E-21","4.242437987983711E-15"
"6.748434916404232E-4","19.00372169697471","18.88638036399509","448.79224177483","-652373.2384758416","-730298.2874333583","1","1.602E-19","3.1999999999999977E-6","3.3434059999999994E-27","4.263461956676024E-15","1.4986156565693108E-21","4.263463455291681E-15"
"7.197227158179063E-4","18.938484373127128","18.813350535251757","464.81114732748955","-674008.6676800317","-754717.7659452632","1","1.602E-19","3.2999999999999976E-6","3.3434059999999994E-27","4.285362963925651E-15","1.6030405280326334E-21","4.28536456696618E-15"
"7.662038305506552E-4","18.871083506359124","18.73787875865723","481.07515117087337","-695761.4242937881","-779301.4981074427","1","1.602E-19","3.3999999999999975E-6","3.3434059999999994E-27","4.3081587289229355E-15","1.7116346459036238E-21","4.308160440557581E-15"
"8.143113456677424E-4","18.801507363929748","18.659948608846488","497.60308614235714","-717634.8175156172","-804057.1424372478","1","1.602E-19","3.4999999999999974E-6","3.3434059999999994E-27","4.331869296922544E-15","1.8244883223003945E-21","4.3318711214108664E-15"
"8.640716542819782E-4","18.729743882178184","18.57954289460276","514.4153722132946","-739632.0158794106","-828992.6693744898","1","1.602E-19","3.5999999999999973E-6","3.3434059999999994E-27","4.356515669962517E-15","1.941696186161723E-21","4.3565176116587036E-15"
"9.155131915033076E-4","18.655780680590244","18.49664362766531","531.5341730050527","-761756.0176304145","-854116.3868268272","1","1.602E-19","3.699999999999997E-6","3.3434059999999994E-27","4.382119836057747E-15","2.0633573178447E-21","4.382121899415064E-15"
