"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy"
"19.980096490709393","19.980332600061907","-0.0028202122329111534","-90499.41527917313","-89420.96921888294","-12817.842364669954","1","1.602E-19","4.500000000000003E-7","3.3434059999999994E-27","3.983729704568352E-15","2.6130638921564098E-23","3.9837297306989905E-15"
"19.979191496556602","19.97943839036972","-0.0029483906565578527","-92513.14569368896","-91410.25769642908","-13102.5646100804","1","1.602E-19","4.600000000000003E-7","3.3434059999999994E-27","3.98399298849053E-15","2.733326513294674E-23","3.983993015823795E-15"
"19.978266365099664","19.97852428779275","-0.003079416302658657","-94527.05195042581","-93399.6900295247","-13387.278928301752","1","1.602E-19","4.700000000000003E-7","3.3434059999999994E-27","3.984262284205039E-15","2.856304266714072E-23","3.9842623127680815E-15"
"19.97732109458016","19.977590290892454","-0.003213289091941674","-96541.13798674753","-95389.26942185128","-13671.985142055548","1","1.602E-19","4.800000000000003E-7","3.3434059999999994E-27","3.984537593613554E-15","2.9819980016766503E-23","3.984537623433535E-15"
"19.976355683200293","19.976636398198238","-0.0033500089433622293","-98555.40774199166","-97378.99907753944","-13956.68307399062","1","1.602E-19","4.900000000000003E-7","3.3434059999999994E-27","3.984818918660732E-15","3.110408586625966E-23","3.984818949764818E-15"
"19.975370129122872","19.97566260820746","-0.0034895757741021357","-100569.86515751353","-99368.88220117784","-14241.372546681634","1","1.602E-19","5.000000000000003E-7","3.3434059999999994E-27","3.985106261334342E-15","3.241536909200646E-23","3.985106293749711E-15"
"19.974364430471294","19.97466891938545","-0.0036319894995689517","-102584.51417673021","-101358.92199782224","-14526.05338262761","1","1.602E-19","5.100000000000003E-7","3.3434059999999994E-27","3.985399623665022E-15","3.375383876248259E-23","3.985399657418861E-15"
"19.97333858532953","19.97365533016547","-0.0037772500333952278","-104599.35874516456","-103349.12167300416","-14810.725404250477","1","1.602E-19","5.200000000000003E-7","3.3434059999999994E-27","3.985699007726546E-15","3.5119504138394764E-23","3.98569904284605E-15"
"19.97229259174208","19.97262183894874","-0.0039253572874377324","-106614.40281048938","-105339.48443273982","-15095.388433893626","1","1.602E-19","5.300000000000003E-7","3.3434059999999994E-27","3.9860044156357285E-15","3.6512374672825414E-23","3.9860044521481034E-15"
"19.97122644771397","19.971568444104413","-0.004076311171776668","-108629.65032257172","-107330.01348353876","-15380.042293820467","1","1.602E-19","5.400000000000003E-7","3.3434059999999994E-27","3.986315849552516E-15","3.793246001138039E-23","3.986315887484976E-15"
