"X","Y","Z","Vx","Vy","Vz","Polarity","Time","Mass","Electric Potential Energy","Kinetic Energy"
"-59.548931330667756","-2.5915929709404626","-164.69862251847454","5.426974114842117E10","-6.6478492832003765E9","-1.3854167266339105E11","1","1.3E-9","3.3434059999999994E-27","1018.9027208234143","4.355734670625227E-23","1018.9027208234143"
"-54.12195721582564","-3.2563778992605004","-178.55278978481365","6.753075674938977E10","-6.087093192893793E9","-1.1743610704319623E11","1","1.4000000000000001E-9","3.3434059999999994E-27","1015.536818113501","5.128521984911685E-23","1015.536818113501"
"-47.36888154088666","-3.8650872185498795","-190.29640048913328","7.72374892511991E10","-5.516521816654022E9","-9.794055219930331E10","1","1.5000000000000002E-9","3.3434059999999994E-27","972.7745222620288","5.821018458697297E-23","972.7745222620288"
"-39.645132615766755","-4.416739400215282","-200.0904557090636","8.435182769925511E10","-4.947610830072941E9","-7.97852301966361E10","1","1.6000000000000003E-9","3.3434059999999994E-27","920.198621365531","6.431287160739292E-23","920.198621365531"
"-31.209949845841244","-4.911500483222576","-208.06897872872722","8.950353063268973E10","-4.384053298117646E9","-6.27287560106873E10","1","1.7000000000000003E-9","3.3434059999999994E-27","869.3046111652097","6.958870729127458E-23","869.3046111652097"
"-22.25959678257227","-5.349905813034341","-214.34185432979595","9.311178540814706E10","-3.8258787009555445E9","-4.656186442058217E10","1","1.8000000000000004E-9","3.3434059999999994E-27","824.1043355616457","7.404120318000655E-23","824.1043355616457"
"-12.948418241757564","-5.732493683129896","-218.99804077185416","9.545793057057938E10","-3.2714103797630563E9","-3.1106408203843132E10","1","1.9000000000000005E-9","3.3434059999999994E-27","785.5585055160932","7.767825709041777E-23","785.5585055160932"
"-3.402625184699625","-6.059634721106201","-222.10868159223847","9.673012806429184E10","-2.7181853111581764E9","-1.621150454327101E10","1","2.0000000000000005E-9","3.3434059999999994E-27","753.4287244019888","8.0510327963063E-23","753.4287244019888"
"6.27038762172956","-6.331453252222019","-223.72983204656558","9.705110057753815E10","-2.1633764672844715E9","-1.748907336391739E9","1","2.1000000000000006E-9","3.3434059999999994E-27","727.0425271770197","8.254963609406004E-23","727.0425271770197"
"15.975497679483375","-6.547790898950466","-223.90472278020476","9.649539152576566E10","-1.6039769000977123E9","1.2391290075482695E10","1","2.2000000000000007E-9","3.3434059999999994E-27","705.5951508276277","8.380989844679312E-23","705.5951508276277"
"25.62503683205994","-6.708188588960237","-222.6655937726565","9.509997335009103E10","-1.0368706965167364E9","2.630418764918119E10","1","2.3000000000000007E-9","3.3434059999999994E-27","688.2492403119223","8.43063477080258E-23","688.2492403119223"
"35.135034167069044","-6.8118756586119105","-220.0351750077384","9.287047921646068E10","-4.588529498650714E8","4.007272535613254E10","1","2.400000000000001E-9","3.3434059999999994E-27","674.141461024766","8.405591653810864E-23","674.141461024766"
"44.422082088715115","-6.857760953598418","-216.02790247212513","8.978440953756447E10","1.3336811595657396E8","5.37694252966353E10","1","2.500000000000001E-9","3.3434059999999994E-27","662.3396842025787","8.307753824764433E-23","662.3396842025787"
"53.40052304247156","-6.844424142002761","-210.6509599424616","8.579210921352441E10","7.431661842261686E8","6.745721149225721E10","1","2.600000000000001E-9","3.3434059999999994E-27","651.7652058238156","8.139255255142159E-23","651.7652058238156"
"61.979733963824","-6.770107523580144","-203.9052387932359","8.081597193055565E10","1.3739723610914629E9","8.118924575517023E10","1","2.700000000000001E-9","3.3434059999999994E-27","641.0804779831767","7.902522721734588E-23","641.0804779831767"
"70.06133115687956","-6.632710287470998","-195.78631421771888","7.4748111511555E10","2.0292139121451209E9","9.500765875565663E10","1","2.800000000000001E-9","3.3434059999999994E-27","628.5357761520848","7.600342219959421E-23","628.5357761520848"
"77.53614230803507","-6.429788896256485","-186.28554834215322","6.744658069772868E10","2.7121959849748173E9","1.0894099794308571E11","1","2.900000000000001E-9","3.3434059999999994E-27","611.7655994123378","7.235943667605719E-23","611.7655994123378"
"84.28080037780794","-6.158569297759003","-175.39144854784465","5.873004619667365E10","3.4259024749615846E9","1.2300016784702304E11","1","3.0000000000000012E-9","3.3434059999999994E-27","587.5283351494639","6.813109340588919E-23","587.5283351494639"
"90.1538049974753","-5.815979050262845","-163.09143176314234","4.8370546080153114E10","4.172690112692912E9","1.371725972078379E11","1","3.1000000000000013E-9","3.3434059999999994E-27","551.3943415977808","6.336312971535148E-23","551.3943415977808"
