"X","Y","Z","Vx","Vy","Vz","Polarity","Charge","Time","Mass","Electric Potential Energy","Kinetic Energy","Total Energy","V/Cm"
"239643.81409268212","245107.2929332125","-133849.01172239243","179755.3604550273","183852.96958282718","-100409.25872771653","1","1.602176634E-19","9.000000000000002E-10","3.3444950551171926E-27","1.439636271444668E-6","7.952833763936108E-4","7.967230126650555E-4","1.724110305174019E-27"
"239643.81410168312","245107.29294242006","-133849.01172740487","179755.36045504315","183852.96958284508","-100409.2587277069","1","1.602176634E-19","9.500000000000002E-10","3.3444950551171926E-27","1.4396362749008477E-6","7.952833763937185E-4","7.967230126686193E-4","1.7241103030292082E-27"
"239643.8141106841","245107.2929516276","-133849.01173241733","179755.360455059","183852.96958286298","-100409.25872769726","1","1.602176634E-19","1.0000000000000003E-9","3.3444950551171926E-27","1.4396362368904877E-6","7.952833763938266E-4","7.967230126307172E-4","1.7241103027619974E-27"
"239643.8141196851","245107.29296083516","-133849.01173742977","179755.36045507487","183852.96958288088","-100409.25872768763","1","1.602176634E-19","1.0500000000000003E-9","3.3444950551171926E-27","1.439636263993762E-6","7.952833763939346E-4","7.967230126579284E-4","1.724110298918881E-27"
"239643.81412868606","245107.29297004273","-133849.01174244224","179755.36045509073","183852.9695828988","-100409.258727678","1","1.602176634E-19","1.1000000000000003E-9","3.3444950551171926E-27","1.439636282769098E-6","7.952833763940427E-4","7.967230126768118E-4","1.724110299728887E-27"
"239643.81413768706","245107.29297925028","-133849.01174745467","179755.3604551066","183852.9695829167","-100409.25872766836","1","1.602176634E-19","1.1500000000000004E-9","3.3444950551171926E-27","1.4396362324706277E-6","7.952833763941507E-4","7.967230126266214E-4","1.7241102975530436E-27"
"239643.81414668803","245107.29298845783","-133849.01175246714","179755.36045512246","183852.9695829346","-100409.25872765873","1","1.602176634E-19","1.2000000000000004E-9","3.3444950551171926E-27","1.4396362627228327E-6","7.952833763942589E-4","7.967230126569817E-4","1.724110303289505E-27"
"239643.81415568903","245107.29299766538","-133849.01175747957","179755.36045513832","183852.9695829525","-100409.2587276491","1","1.602176634E-19","1.2500000000000004E-9","3.3444950551171926E-27","1.4396362654286966E-6","7.952833763943667E-4","7.967230126597954E-4","1.7241103007146843E-27"
"239643.81416469","245107.29300687293","-133849.01176249204","179755.36045515418","183852.96958297043","-100409.25872763945","1","1.602176634E-19","1.3000000000000005E-9","3.3444950551171926E-27","1.43963623660005E-6","7.952833763944749E-4","7.96723012631075E-4","1.724110302134001E-27"
"239643.814173691","245107.29301608048","-133849.0117675045","179755.36045517004","183852.96958298833","-100409.25872762981","1","1.602176634E-19","1.3500000000000005E-9","3.3444950551171926E-27","1.4396362568882781E-6","7.95283376394583E-4","7.967230126514713E-4","1.7241103000357803E-27"
"239643.81418269197","245107.29302528803","-133849.01177251694","179755.3604551859","183852.96958300623","-100409.25872762018","1","1.602176634E-19","1.4000000000000005E-9","3.3444950551171926E-27","1.439636268845534E-6","7.95283376394691E-4","7.967230126635365E-4","1.7241103018602557E-27"
"239643.81419169297","245107.2930344956","-133849.0117775294","179755.36045520176","183852.96958302413","-100409.25872761055","1","1.602176634E-19","1.4500000000000006E-9","3.3444950551171926E-27","1.4396362648947635E-6","7.95283376394799E-4","7.967230126596938E-4","1.7241102954350523E-27"
"239643.81420069395","245107.29304370316","-133849.01178254184","179755.36045521763","183852.96958304205","-100409.25872760091","1","1.602176634E-19","1.5000000000000006E-9","3.3444950551171926E-27","1.4396362660041682E-6","7.952833763949071E-4","7.967230126609113E-4","1.7241102994539217E-27"
"239643.81420969495","245107.2930529107","-133849.0117875543","179755.36045523346","183852.96958305995","-100409.25872759128","1","1.602176634E-19","1.5500000000000006E-9","3.3444950551171926E-27","1.4396362524623035E-6","7.952833763950151E-4","7.967230126474774E-4","1.7241102986717958E-27"
"239643.81421869592","245107.29306211826","-133849.01179256674","179755.36045524932","183852.96958307785","-100409.25872758165","1","1.602176634E-19","1.6000000000000007E-9","3.3444950551171926E-27","1.4396362710022808E-6","7.952833763951231E-4","7.967230126661254E-4","1.7241102985545362E-27"
"239643.81422769692","245107.2930713258","-133849.0117975792","179755.36045526518","183852.96958309575","-100409.25872757201","1","1.602176634E-19","1.6500000000000007E-9","3.3444950551171926E-27","1.4396362645234608E-6","7.952833763952313E-4","7.967230126597548E-4","1.72411030265552E-27"
"239643.8142366979","245107.29308053336","-133849.01180259167","179755.36045528104","183852.96958311365","-100409.25872756238","1","1.602176634E-19","1.7000000000000007E-9","3.3444950551171926E-27","1.4396362369396104E-6","7.952833763953393E-4","7.96723012632279E-4","1.7241103033138207E-27"
"239643.8142456989","245107.2930897409","-133849.0118076041","179755.3604552969","183852.96958313158","-100409.25872755273","1","1.602176634E-19","1.7500000000000008E-9","3.3444950551171926E-27","1.4396362604298889E-6","7.952833763954473E-4","7.967230126558772E-4","1.7241102938764974E-27"
"239643.81425469986","245107.2930989485","-133849.01181261658","179755.36045531277","183852.96958314948","-100409.2587275431","1","1.602176634E-19","1.8000000000000008E-9","3.3444950551171926E-27","1.4396362690288469E-6","7.952833763955553E-4","7.967230126645842E-4","1.7241102985200512E-27"
"239643.81426370086","245107.29310815604","-133849.011817629","179755.36045532863","183852.96958316737","-100409.25872753347","1","1.602176634E-19","1.8500000000000008E-9","3.3444950551171926E-27","1.4396362326147088E-6","7.952833763956632E-4","7.967230126282778E-4","1.7241102962369085E-27"
"239643.81427270183","245107.2931173636","-133849.01182264148","179755.3604553445","183852.96958318527","-100409.25872752383","1","1.602176634E-19","1.900000000000001E-9","3.3444950551171926E-27","1.439636248592777E-6","7.952833763957712E-4","7.96723012644364E-4","1.7241102949996214E-27"
"239643.81428170283","245107.29312657114","-133849.0118276539","179755.36045536035","183852.9695832032","-100409.2587275142","1","1.602176634E-19","1.950000000000001E-9","3.3444950551171926E-27","1.4396362670281104E-6","7.952833763958792E-4","7.967230126629073E-4","1.7241102915622134E-27"
"239643.8142907038","245107.2931357787","-133849.01183266638","179755.3604553762","183852.9695832211","-100409.25872750457","1","1.602176634E-19","2.000000000000001E-9","3.3444950551171926E-27","1.4396362607280845E-6","7.952833763959873E-4","7.967230126567155E-4","1.724110297534775E-27"
"239643.8142997048","245107.29314498624","-133849.01183767882","179755.36045539207","183852.969583239","-100409.25872749493","1","1.602176634E-19","2.050000000000001E-9","3.3444950551171926E-27","1.4396362621784715E-6","7.952833763960954E-4","7.967230126582739E-4","1.72411029565175E-27"
"239643.81430870577","245107.2931541938","-133849.01184269128","179755.36045540794","183852.9695832569","-100409.2587274853","1","1.602176634E-19","2.100000000000001E-9","3.3444950551171926E-27","1.4396362617476341E-6","7.952833763962034E-4","7.96723012657951E-4","1.724110299991804E-27"
"239643.81431770677","245107.29316340137","-133849.01184770375","179755.3604554238","183852.96958327483","-100409.25872747567","1","1.602176634E-19","2.150000000000001E-9","3.3444950551171926E-27","1.4396362682954688E-6","7.952833763963114E-4","7.967230126646068E-4","1.7241102964354938E-27"
"239643.81432670774","245107.29317260892","-133849.01185271618","179755.36045543963","183852.96958329272","-100409.25872746602","1","1.602176634E-19","2.200000000000001E-9","3.3444950551171926E-27","1.4396362589968188E-6","7.952833763964194E-4","7.967230126554162E-4","1.7241102986879064E-27"
"239643.81433570874","245107.29318181647","-133849.01185772865","179755.3604554555","183852.96958331062","-100409.25872745638","1","1.602176634E-19","2.250000000000001E-9","3.3444950551171926E-27","1.43963624420398E-6","7.952833763965274E-4","7.967230126407314E-4","1.7241102965316922E-27"
"239643.8143447097","245107.29319102401","-133849.01186274108","179755.36045547135","183852.96958332852","-100409.25872744675","1","1.602176634E-19","2.300000000000001E-9","3.3444950551171926E-27","1.4396362616266052E-6","7.952833763966356E-4","7.967230126582622E-4","1.7241102958402265E-27"
"239643.81435371068","245107.29320023156","-133849.01186775355","179755.3604554872","183852.96958334645","-100409.25872743712","1","1.602176634E-19","2.350000000000001E-9","3.3444950551171926E-27","1.4396362603112302E-6","7.952833763967436E-4","7.967230126570548E-4","1.7241102952934975E-27"
"239643.81436271168","245107.2932094391","-133849.011872766","179755.36045550308","183852.96958336435","-100409.25872742748","1","1.602176634E-19","2.4000000000000012E-9","3.3444950551171926E-27","1.4396362413737853E-6","7.952833763968515E-4","7.967230126382254E-4","1.724110294622313E-27"
"239643.81437171265","245107.29321864666","-133849.01187777845","179755.36045551894","183852.96958338225","-100409.25872741785","1","1.602176634E-19","2.4500000000000013E-9","3.3444950551171926E-27","1.439636262094415E-6","7.952833763969598E-4","7.967230126590542E-4","1.724110295677368E-27"
"239643.81438071365","245107.2932278542","-133849.01188279092","179755.3604555348","183852.96958340015","-100409.25872740822","1","1.602176634E-19","2.5000000000000013E-9","3.3444950551171926E-27","1.439636271823618E-6","7.952833763970677E-4","7.967230126688914E-4","1.7241102943909153E-27"
"239643.81438971462","245107.2932370618","-133849.01188780335","179755.36045555066","183852.96958341805","-100409.25872739858","1","1.602176634E-19","2.5500000000000013E-9","3.3444950551171926E-27","1.4396362345482633E-6","7.952833763971757E-4","7.96723012631724E-4","1.7241102939328915E-27"
"239643.81439871562","245107.29324626934","-133849.01189281582","179755.36045556652","183852.96958343597","-100409.25872738895","1","1.602176634E-19","2.6000000000000014E-9","3.3444950551171926E-27","1.4396362511333876E-6","7.952833763972838E-4","7.967230126484172E-4","1.7241102999512633E-27"
"239643.8144077166","245107.2932554769","-133849.01189782826","179755.36045558238","183852.96958345387","-100409.2587273793","1","1.602176634E-19","2.6500000000000014E-9","3.3444950551171926E-27","1.4396362631594689E-6","7.95283376397392E-4","7.967230126605515E-4","1.724110296681667E-27"
"239643.8144167176","245107.29326468444","-133849.01190284072","179755.36045559825","183852.96958347177","-100409.25872736967","1","1.602176634E-19","2.7000000000000014E-9","3.3444950551171926E-27","1.439636260830564E-6","7.952833763974998E-4","7.967230126583304E-4","1.724110294543125E-27"
"239643.81442571856","245107.293273892","-133849.01190785316","179755.3604556141","183852.96958348967","-100409.25872736004","1","1.602176634E-19","2.7500000000000015E-9","3.3444950551171926E-27","1.4396362502316438E-6","7.95283376397608E-4","7.967230126478396E-4","1.7241102913791573E-27"
