energy (eV), scatter (barn), capture (barn), total (barn)
1822360.0,3.235036,0.00173178099,4.08950013
1822400.0,3.173151,0.00173175799,4.01009951
1822530.0,2.972077,0.00173168399,3.75209973
1822658.0,2.820692,0.00173161099,3.54466466
1822700.0,2.778509,0.00173158699,3.47659983
1822880.0,2.597832,0.00173148499,3.18500053
1823059.0,2.514519,0.00173138299,2.99138143
1823060.0,2.51369,0.00173138199,2.99029973
1823100.0,2.495697,0.00173135999,2.96220031
1823410.0,2.356722,0.00173118299,2.74490023
1823590.0,2.254001,0.00173108099,2.59670013
1823700.0,2.325594,0.00173101799,2.64050037
1823760.0,2.364653,0.001730984,2.66439973
1823761.0,2.364637,0.001730984,2.66413103
1824061.0,2.325071,0.001730813,2.58330686
1824100.0,2.312406,0.001730791,2.57279954
1824290.0,2.250595,0.001730683,2.52150043
1824763.0,2.32459,0.001730414,2.62166446
1824800.0,2.32493,0.001730393,2.62950024
1824820.0,2.326978,0.001730381,2.63559993
1825465.0,2.379375,0.00173001501,2.81866606
1825500.0,2.39289,0.00172999501,2.82859974
1825530.0,2.40446,0.00172997801,2.83710003
1825700.0,2.325355,0.00172988101,2.74059983
1826050.0,2.312669,0.00172968201,2.69210033
1826166.0,2.373954,0.00172961601,2.74151566
1826200.0,2.379093,0.00172959601,2.75599994
1826410.0,2.410773,0.00172947701,2.84540042
1826940.0,2.557897,0.00172917601,3.13820022
1827169.0,2.321002,0.00172904502,2.96424809
1827200.0,2.300302,0.00172902802,2.94070038
1827820.0,1.886355,0.00172867502,2.46979962
1828200.0,1.915363,0.00172845902,2.46390041
1828272.0,1.920921,0.00172841802,2.46284447
1828350.0,1.909947,0.00172837402,2.46169952
1828700.0,2.230043,0.00172817402,2.82590032
1828880.0,2.32426,0.00172807203,2.94279982
1828973.0,2.226029,0.00172801903,2.85628807
1829300.0,1.951096,0.00172783303,2.55210028
1829410.0,1.858637,0.00172777103,2.44980022
1829760.0,1.674649,0.00172757203,2.23449972
1829976.0,1.725654,0.00172744903,2.2661805
1830000.0,1.72155,0.00172743503,2.26970038
1830120.0,1.70103,0.00172736703,2.28729992
1830290.0,1.784927,0.00172727003,2.42519962
1830470.0,2.111848,0.00172716804,2.80929992
1830650.0,2.502469,0.00172706504,3.25710021
1830677.0,2.598366,0.00172705004,3.3615741
1830820.0,3.173539,0.00172696904,3.91489992
1831000.0,3.805639,0.00172686604,4.51950001
1831180.0,4.334139,0.00172676404,5.02050011
1831360.0,4.430239,0.00172666104,5.08910021
1831680.0,3.447905,0.00172647904,4.05787753
1831710.0,3.354932,0.00172646204,3.96120011
1832060.0,2.469651,0.00172626305,3.03270041
1832081.0,2.446151,0.00172625105,3.0066073
1832100.0,2.422583,0.00172624105,2.98300029
1832240.0,2.24867,0.00172616105,2.80879981
1832600.0,1.942309,0.00172595605,2.5016995
1832770.0,1.885659,0.00172585905,2.44470051
1832950.0,1.887928,0.00172575705,2.44659981
1833083.0,1.935638,0.00172568105,2.49403673
1833100.0,1.944732,0.00172567205,2.50010032
1833480.0,2.148071,0.00172545605,2.6357
1833660.0,2.358358,0.00172535305,2.8139
1833785.0,2.343498,0.00172528206,2.77675733
1833800.0,2.341041,0.00172527406,2.77230002
1834370.0,2.247552,0.00172494906,2.6028001
1834550.0,2.160255,0.00172484706,2.4914997
1834788.0,2.306138,0.00172471206,2.60564476
1834800.0,2.311034,0.00172470506,2.61140025
1834900.0,2.351871,0.00172464806,2.6594001
1835189.0,2.576531,0.00172448306,2.90476053
1835200.0,2.586135,0.00172447706,2.91409973
1835260.0,2.63848,0.00172444306,2.96500009
1835440.0,2.681014,0.00172434107,3.00320019
1835490.0,2.673848,0.00172431207,2.99483036
1835890.0,2.608267,0.00172408507,2.92787413
1835900.0,2.604667,0.00172407907,2.92620043
1836150.0,2.514609,0.00172393707,2.88430039
1836500.0,2.597187,0.00172373807,3.03429959
1836592.0,2.518929,0.00172368507,2.97376373
1836600.0,2.514415,0.00172368107,2.96850053
1837040.0,2.266023,0.00172343108,2.67890018
1837390.0,2.008402,0.00172323208,2.38849988
1837570.0,1.90156,0.00172312908,2.26479988
1837594.0,1.901568,0.00172311608,2.26256016
1837600.0,1.900704,0.00172311208,2.26200036
1837750.0,1.879598,0.00172302708,2.24850008
1838280.0,1.686525,0.00172272508,2.08230047
1838296.0,1.686113,0.00172271608,2.08269976
1838700.0,1.634081,0.00172248609,2.09279953
