energy (eV), scatter (barn), absorb (barn), total (barn)
0.0026562499999999998,2.312203,6.5733223,8.8855253
0.00275,2.303586,6.46035272,8.76393872
0.00284375,2.295531,6.35301667,8.64854767
0.0029375,2.287987,6.25086078,8.53884778
0.0030312499999999997,2.280907,6.15348074,8.43438774
0.0031249999999999997,2.274249,6.06051624,8.33476524
0.00321875,2.267976,5.97164403,8.23962003
0.0033125,2.262057,5.88657086,8.14862786
0.00340625,2.256463,5.80503454,8.06149754
0.0035,2.251167,5.72679686,7.97796386
0.0035937499999999997,2.246147,5.65164065,7.89778765
0.0036875,2.241381,5.57936776,7.82074876
0.0037812500000000003,2.236851,5.50980104,7.74665204
0.003875,2.23254,5.44277337,7.67531337
0.00396875,2.228432,5.37813561,7.60656761
0.0040625,2.224513,5.31574766,7.54026066
0.00425,2.217193,5.19722279,7.41441579
0.0044375,2.210492,5.08629104,7.29678304
0.004625,2.204333,4.98217479,7.18650779
0.0048125,2.198653,4.88420352,7.08285652
0.005,2.1934,4.79179575,6.98519575
0.00515625,2.189313,4.71867176,6.90798476
0.0053124999999999995,2.185467,4.64879742,6.83426442
0.00546875,2.181841,4.58193854,6.76377954
0.005625,2.178415,4.51788595,6.69630095
0.00578125,2.175175,4.4564475,6.6316225
0.0059375,2.172106,4.39744906,6.56955506
0.00609375,2.169194,4.3407355,6.5099295
0.0062499999999999995,2.166427,4.2861617,6.4525887
0.00640625,2.163795,4.23359656,6.39739156
0.0065625,2.161289,4.18291998,6.34420898
0.00671875,2.158899,4.13402188,6.29292088
0.006875,2.156617,4.08679918,6.24341618
0.0071874999999999994,2.152352,3.99701666,6.14936866
0.0075,2.148442,3.9129059,6.0613479
0.0078125,2.144844,3.83389143,5.97873543
0.008125,2.141524,3.75948085,5.90100485
0.0084375,2.138449,3.68924282,5.82769182
0.00875,2.135593,3.62280203,5.75839503
0.0090625,2.132934,3.55982721,5.69276121
0.009375,2.130453,3.50002812,5.63048112
0.0096875,2.128131,3.44314556,5.57127656
0.01,2.125955,3.38895034,5.51490534
0.0103125,2.12391,3.33723828,5.46114828
0.010624999999999999,2.121985,3.28782323,5.40980823
0.0109375,2.12017,3.24054206,5.36071206
0.01125,2.118456,3.19524464,5.31370064
0.0115625,2.116835,3.15179586,5.26863086
0.011875,2.115298,3.11007361,5.22537161
0.0121875,2.113841,3.06996581,5.18380681
0.012499999999999999,2.112456,3.03137136,5.14382736
0.0128125,2.111139,2.99419819,5.10533719
0.013125,2.109884,2.95836022,5.06824422
0.0134375,2.108687,2.92377838,5.03246538
0.01375,2.107545,2.89038362,4.99792862
0.014374999999999999,2.10541,2.8268881,4.9322981
0.015,2.103452,2.76740323,4.87085523
0.015625,2.10165,2.71152266,4.81317266
0.01625,2.099987,2.65889607,4.75888307
0.016875,2.098446,2.60922019,4.70766619
0.0175,2.097016,2.56222977,4.65924577
0.018125,2.095683,2.51768959,4.61337259
0.01875,2.09444,2.47539447,4.56983447
0.019375,2.093276,2.43516123,4.52843723
0.02,2.092185,2.39682972,4.48901472
0.0206625,2.0911,2.35811134,4.44921134
0.021325,2.090082,2.3212116,4.4112936
0.0219875,2.089126,2.28599137,4.37511737
0.02265,2.088225,2.25232856,4.34055356
0.0233125,2.087375,2.22011004,4.30748504
0.023975,2.086572,2.18923675,4.27580875
0.024637500000000003,2.085811,2.1596176,4.2454286
0.025300000000000003,2.085091,2.13116952,4.21626052
0.02645782,2.083917,2.08404262,4.16795962
0.02761563,2.082842,2.03991254,4.12275454
0.02877344,2.081853,1.99847307,4.08032607
0.02993125,2.080939,1.95946203,4.04040103
0.031089069999999996,2.080093,1.92265025,4.00274325
0.03224688,2.079307,1.8878386,3.9671456
0.03340469,2.078576,1.85485294,3.93342894
0.0345625,2.077892,1.82353615,3.90142815
0.03552735,2.077357,1.79861685,3.87597385
0.03649219,2.076849,1.77469071,3.85153971
0.037457040000000004,2.076367,1.75169468,3.82806168
0.03842188,2.075909,1.72956869,3.80547769
0.03938673,2.075473,1.7082597,3.7837327
0.040351569999999996,2.075058,1.68771965,3.76277765
0.041316410000000005,2.074662,1.6679025,3.7425645
0.04228125,2.074284,1.64876621,3.72305021
0.04421094,2.073576,1.612389,3.685965
0.046140629999999995,2.072926,1.57831773,3.65124373
0.04807032,2.072327,1.54631712,3.61864412
0.049999999999999996,2.071774,1.51618892,3.58796292
0.051562500000000004,2.071356,1.49304176,3.56439776
0.053125,2.070962,1.47092495,3.54188695
0.0546875,2.07059,1.44976339,3.52035339
0.056249999999999994,2.070237,1.42949001,3.49972701
0.0578125,2.069904,1.41004573,3.47994973
0.059375,2.069587,1.39137349,3.46096049
0.0609375,2.069286,1.37342621,3.44271221
0.0625,2.069,1.35615585,3.42515585
0.0640625,2.068727,1.33952235,3.40824935
0.06562499999999999,2.068467,1.32348566,3.39195266
0.06718750000000001,2.068218,1.30801273,3.37623073
0.06875,2.067981,1.29306954,3.36105054
0.071875,2.067535,1.26465717,3.33219217
0.075,2.067125,1.23803729,3.30516229
0.078125,2.066746,1.21302765,3.27977365
0.08125,2.066395,1.18947206,3.25586706
0.084375,2.066068,1.16723434,3.23330234
0.0875,2.065763,1.14619732,3.21196032
0.09062500000000001,2.065478,1.12625687,3.19173487
0.09375,2.065211,1.10732087,3.17253187
0.096875,2.06496,1.08930821,3.15426821
0.09999999999999999,2.064723,1.0721468,3.1368698
0.10312500000000001,2.064499,1.05577153,3.12027053
0.10625,2.064287,1.04012334,3.10441034
0.109375,2.064087,1.02515115,3.08923815
0.11249999999999999,2.063896,1.01080789,3.07470389
0.115625,2.063715,0.997050712,3.06076571
0.11875,2.063542,0.983840757,3.04738276
0.121875,2.063377,0.971143176,3.03452018
0.125,2.06322,0.958925724,3.02214572
0.128125,2.063069,0.947158859,3.01022786
0.13124999999999998,2.062924,0.935815542,2.99873954
0.13437500000000002,2.062785,0.924870637,2.98765564
0.1375,2.062652,0.914300812,2.97695281
0.14375,2.0624,0.894202978,2.95660298
0.15,2.062166,0.87537032,2.93753632
0.15625,2.061947,0.857674651,2.91962165
0.1625,2.061743,0.841006311,2.90274931
0.16875,2.06155,0.825271059,2.88682106
0.175,2.061369,0.810386274,2.87175527
0.18125000000000002,2.061197,0.796279246,2.85747625
0.1875,2.061035,0.782885178,2.84392018
0.19375,2.06088,0.770145881,2.83102588
0.19999999999999998,2.060733,0.758008976,2.81874198
0.209375,2.060524,0.740831221,2.80135522
0.21875,2.060328,0.72476532,2.78509332
0.22812500000000002,2.060143,0.709695694,2.76983869
0.2375,2.059968,0.69552439,2.75549239
0.246875,2.059803,0.682166774,2.74196977
0.25625,2.059645,0.669548327,2.72919333
0.265625,2.059494,0.657603444,2.71709744
0.275,2.059349,0.646274433,2.70562343
0.284375,2.05921,0.63550991,2.69471991
0.29375,2.059077,0.625264501,2.6843415
0.30312500000000003,2.058948,0.61549784,2.67444584
0.3125,2.058823,0.606173567,2.66499657
0.32187499999999997,2.058702,0.597259428,2.65596143
0.33125,2.058585,0.588725975,2.64731098
0.340625,2.058471,0.580547062,2.63901806
0.35,2.05836,0.572698851,2.63105885
0.359375,2.058252,0.565159805,2.62341181
0.36875,2.058146,0.557910691,2.61605669
0.378125,2.058043,0.55093418,2.60897718
0.3875,2.057942,0.544214043,2.60215604
0.39687500000000003,2.057843,0.537735055,2.59557806
0.40625,2.057746,0.53148239,2.58922839
0.425,2.057557,0.51960023,2.57715723
0.44375,2.057374,0.508471394,2.56584539
0.4625,2.057197,0.498023356,2.55522036
0.5,2.056856,0.478936359,2.53579236
0.53125,2.056584,0.464596371,2.52118037
0.5625,2.056321,0.451445723,2.50776672
0.59375,2.056065,0.43934015,2.49540515
0.625,2.055816,0.428152819,2.48396882
0.6875,2.055333,0.408108784,2.46344178
0.75,2.054866,0.390621509,2.44548751
0.8125,2.054413,0.37519083,2.42960383
0.875,2.053969,0.361477693,2.41544669
0.9375,2.053534,0.349151835,2.40268584
1.0,2.053105,0.337960945,2.39106595
1.0625,2.052682,0.327768651,2.38045065
1.125,2.052264,0.318435967,2.37069997
1.1875,2.05185,0.309848155,2.36169816
1.25,2.051439,0.301910917,2.35334992
1.375,2.050625,0.287686725,2.33831173
1.5,2.049821,0.275273043,2.32509404
1.625,2.049023,0.264314897,2.3133379
1.75,2.048232,0.254574669,2.30280667
1.875,2.047446,0.245817727,2.29326373
2.0,2.046664,0.237852028,2.28451603
2.1875,2.045498,0.227209478,2.27270748
2.375,2.044339,0.217857083,2.26219608
2.5625,2.043185,0.209544046,2.25272905
2.75,2.042037,0.202108786,2.24414579
2.9375,2.040893,0.195390309,2.23628331
3.125,2.039753,0.189261899,2.2290149
3.3125,2.038617,0.183657195,2.22227419
3.5,2.037485,0.178505017,2.21599002
3.875,2.035231,0.169335678,2.20456668
4.25,2.032987,0.161395861,2.19438286
4.625,2.030756,0.154431504,2.1851875
5.0,2.028535,0.148265037,2.17680004
5.3125,2.026692,0.143627755,2.17031976
5.625,2.024856,0.139368484,2.16422448
5.9375,2.023027,0.135445211,2.15847221
6.25,2.021204,0.131815616,2.15301962
6.875,2.017578,0.125302084,2.14288008
7.5,2.013977,0.119607363,2.13358436
8.125,2.0104,0.114571691,2.12497169
8.75,2.006849,0.110082643,2.11693164
9.375,2.00332,0.106041523,2.10936152
10.0,1.999814,0.102370497,2.1021845
10.625,1.996331,0.099021681,2.09535268
11.25,1.992872,0.0959499763,2.08882198
11.875,1.989434,0.0931187297,2.08255273
12.5,1.986018,0.0904977667,2.07651577
13.75,1.979251,0.0857903176,2.06504132
15.0,1.97257,0.0816705481,2.05424055
16.25,1.965973,0.0780243595,2.04399736
17.5,1.959458,0.0747702352,2.03422824
18.75,1.953024,0.0718391454,2.02486315
20.0,1.946667,0.069175422,2.01584242
21.875,1.937277,0.0656070053,2.00288401
23.75,1.928058,0.0624614927,1.99051949
25.625,1.919002,0.0596600401,1.97866204
27.5,1.910109,0.0571462801,1.96725528
29.375,1.901371,0.054872352,1.95624335
31.25,1.892785,0.0528001487,1.94558515
33.125,1.884347,0.0509035663,1.93525057
35.0,1.876053,0.0491592996,1.9252123
36.875,1.867899,0.0475481682,1.91544717
38.75,1.859883,0.0460542633,1.90593726
40.625,1.852001,0.0446642352,1.89666524
42.5,1.84425,0.0433667815,1.88761678
46.25,1.829125,0.0410124174,1.87013742
50.0,1.814488,0.0389299389,1.85341794
53.125,1.802644,0.0373673778,1.84001138
