#LIBRARY    ENDF/B-VIII.0
#REACTION   N-14(N,TOT),SIG
#NUCLEUS    N-14
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 382.852     9.82595      Lin-Lin
 390.992     9.82343      Lin-Lin
 425.279     9.81288      Lin-Lin
 431.893     9.81086      Lin-Lin
 459.332     9.80468      Lin-Lin
 499.611     9.79568      Lin-Lin
 510.234     9.79331      Lin-Lin
 543.423     9.78597      Lin-Lin
 547.257     9.78512      Lin-Lin
 586.965     9.77638      Lin-Lin
 599.416     9.77364      Lin-Lin
 651.98      9.76215      Lin-Lin
 665.842     9.75912      Lin-Lin
 699.287     9.75186      Lin-Lin
 719.158     9.74754      Lin-Lin
 755.318     9.73971      Lin-Lin
 776.78      9.73507      Lin-Lin
 838.979     9.72167      Lin-Lin
 856.818     9.71782      Lin-Lin
 906.203     9.70722      Lin-Lin
 938.481     9.7003       Lin-Lin
 978.765     9.69168      Lin-Lin
 1020.78     9.68269      Lin-Lin
 1064.59     9.67334      Lin-Lin
 1110.29     9.66358      Lin-Lin
 1149.9      9.65515      Lin-Lin
 1199.25     9.64464      Lin-Lin
 1274.82     9.62859      Lin-Lin
 1312.36     9.62062      Lin-Lin
 1367.32     9.60896      Lin-Lin
 1427.44     9.59622      Lin-Lin
 1497.71     9.58134      Lin-Lin
 1563.57     9.5674       Lin-Lin
 1660.6      9.5469       Lin-Lin
 1672.31     9.54442      Lin-Lin
 1793.65     9.51881      Lin-Lin
 1831.7      9.51078      Lin-Lin
 1950.94     9.48564      Lin-Lin
 2034.68     9.46799      Lin-Lin
 2136.88     9.44647      Lin-Lin
 2213.11     9.43041      Lin-Lin
 2308.1      9.41043      Lin-Lin
 2385.99     9.39404      Lin-Lin
 2549.63     9.35964      Lin-Lin
 2624.71     9.34385      Lin-Lin
 2734.63     9.32076      Lin-Lin
 2842.78     9.29804      Lin-Lin
 2919.48     9.28194      Lin-Lin
 2995.42     9.26741      Lin-Lin
 3113.88     9.24476      Lin-Lin
 3321.19     9.20514      Lin-Lin
 3405.26     9.18907      Lin-Lin
 3587.3      9.15429      Lin-Lin
 3756.13     9.12204      Lin-Lin
 3901.88     9.09422      Lin-Lin
