#LIBRARY    ENDF/B-VIII.0
#REACTION   C-12(N,EL)C-12-L0,SIG
#NUCLEUS    C-12
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 4.93762E+06 2.13261      Lin-Lin
 4.93772E+06 2.04247      Lin-Lin
 4.93781E+06 1.96138      Lin-Lin
 4.93794E+06 1.86439      Lin-Lin
 4.93803E+06 1.8024       Lin-Lin
 4.93812E+06 1.75027      Lin-Lin
 4.93825E+06 1.6915       Lin-Lin
 4.93844E+06 1.61568      Lin-Lin
 4.93856E+06 1.57408      Lin-Lin
 4.93875E+06 1.52434      Lin-Lin
 4.93894E+06 1.48232      Lin-Lin
 4.93912E+06 1.44827      Lin-Lin
 4.93938E+06 1.4121       Lin-Lin
 4.93962E+06 1.38292      Lin-Lin
 4.94E+06    1.35007      Lin-Lin
 4.9405E+06  1.32129      Lin-Lin
 4.941E+06   1.29614      Lin-Lin
 4.942E+06   1.26678      Lin-Lin
 4.943E+06   1.24922      Lin-Lin
 4.944E+06   1.23783      Lin-Lin
 4.946E+06   1.22403      Lin-Lin
 4.948E+06   1.21598      Lin-Lin
 4.952E+06   1.20672      Lin-Lin
 4.964E+06   1.19312      Lin-Lin
 5.01E+06    1.16177      Lin-Lin
 5.26647E+06 1.01166      Lin-Lin
 5.2975E+06  0.994399     Lin-Lin
 5.31E+06    0.990503     Lin-Lin
 5.3175E+06  0.992977     Lin-Lin
 5.3225E+06  0.998371     Lin-Lin
 5.325E+06   1.00219      Lin-Lin
 5.33E+06    1.01691      Lin-Lin
 5.335E+06   1.04452      Lin-Lin
 5.34E+06    1.09585      Lin-Lin
 5.342E+06   1.12724      Lin-Lin
 5.344E+06   1.16784      Lin-Lin
 5.346E+06   1.22006      Lin-Lin
 5.348E+06   1.28681      Lin-Lin
 5.35E+06    1.37101      Lin-Lin
 5.352E+06   1.47457      Lin-Lin
 5.354E+06   1.59645      Lin-Lin
 5.358E+06   1.86098      Lin-Lin
 5.36E+06    1.96842      Lin-Lin
 5.362E+06   2.03257      Lin-Lin
 5.364E+06   2.04437      Lin-Lin
 5.366E+06   2.00923      Lin-Lin
 5.368E+06   1.9421       Lin-Lin
 5.372E+06   1.77361      Lin-Lin
 5.375E+06   1.65421      Lin-Lin
 5.38E+06    1.49655      Lin-Lin
 5.385E+06   1.38603      Lin-Lin
 5.39E+06    1.30856      Lin-Lin
 5.395E+06   1.25277      Lin-Lin
 5.4E+06     1.21127      Lin-Lin
 5.405E+06   1.17944      Lin-Lin
 5.41E+06    1.15432      Lin-Lin
 5.415E+06   1.13402      Lin-Lin
 5.42E+06    1.11726      Lin-Lin
 5.43E+06    1.09106      Lin-Lin
 5.44E+06    1.07135      Lin-Lin
 5.45E+06    1.05579      Lin-Lin
 5.47E+06    1.0322       Lin-Lin
 5.5E+06     1.00704      Lin-Lin
 5.54E+06    0.982603     Lin-Lin
 5.6E+06     0.954922     Lin-Lin
 5.68E+06    0.926413     Lin-Lin
 5.76E+06    0.904215     Lin-Lin
 5.84E+06    0.887829     Lin-Lin
 5.9E+06     0.879845     Lin-Lin
 5.96E+06    0.876433     Lin-Lin
 6.01E+06    0.878693     Lin-Lin
