energy (eV),scatter (barn),capture (barn),total (barn)
0.0084375,44.24364,0.5759508,44.8195908
0.00875,43.59757,0.5655725,44.1631425
0.0090625,42.9875,0.5557357,43.5432357
0.009375,42.41034,0.5463949,42.9567349
0.0096875,41.86339,0.5375099,42.4008999
0.01,41.34421,0.5290446,41.8732546
0.0103125,40.85063,0.5209671,41.3715971
0.010624999999999999,40.38074,0.5132487,40.8939887
0.0109375,39.93277,0.5058634,40.4386334
0.01125,39.50517,0.4987881,40.0039581
0.0115625,39.09652,0.4920015,39.5885215
0.011875,38.70553,0.4854847,39.1910147
0.0121875,38.33104,0.4792201,38.8102601
0.012499999999999999,37.97198,0.4731919,38.4451719
0.0128125,37.62738,0.4673857,38.0947657
0.013125,37.29636,0.461788,37.758148
0.0134375,36.97809,0.4563868,37.4344768
0.01375,36.67182,0.4511708,37.1229908
0.014374999999999999,36.09259,0.4412538,36.5338438
0.015,35.55378,0.4319632,35.9857432
0.015625,35.05115,0.4232358,35.4743858
0.01625,34.5811,0.4150168,34.9961168
0.016875,34.14046,0.4072588,34.5477188
0.0175,33.7265,0.3999202,34.1264202
0.018125,33.3368,0.3929646,33.7297646
0.01875,32.96925,0.3863596,33.3556096
0.019375,32.62198,0.380077,33.002057
0.02,32.29332,0.3740911,32.6674111
0.0206625,31.96361,0.3680451,32.3316551
0.021325,31.65158,0.362283,32.013863
0.0219875,31.35581,0.3567833,31.7125933
0.02265,31.07506,0.3515267,31.4265867
0.0233125,30.80819,0.3464958,31.1546858
0.023975,30.55419,0.341675,30.895865
0.024637500000000003,30.31215,0.3370499,30.6491999
0.025300000000000003,30.08122,0.3326076,30.4138276
0.02645782,29.70211,0.3252486,30.0273586
0.02761563,29.35115,0.3183575,29.6695075
0.02877344,29.0253,0.3118866,29.3371866
0.02993125,28.72196,0.3057948,29.0277548
0.031089069999999996,28.43886,0.3000466,28.7389066
0.03224688,28.17406,0.2946109,28.4686709
0.03340469,27.92583,0.2894602,28.2152902
0.0345625,27.69267,0.2845706,27.9772406
0.03552735,27.50892,0.2806799,27.7895999
0.03649219,27.33403,0.2769445,27.6109745
0.037457040000000004,27.16737,0.2733544,27.4407244
0.03842188,27.00839,0.2699003,27.2782903
