"X","Y","Z","Polarity"
"10.0","51.54371758284704","19.947797505084306","1"
"10.0","-23.64150574995958","46.878048678074975","1"
"10.0","36.556406380433785","-52.94789529431766","1"
"10.0","-99.91173118779176","55.71943113912951","1"
"10.0","-48.20909291309776","98.85894723619718","1"
"10.0","-78.51797215124265","47.83014517006689","1"
"10.0","82.90468618199213","-31.190496784107864","1"
"27.202710389869758","-61.11476547916677","100.0","1"
"10.0","49.55691118712185","96.42534679597779","1"
"10.0","71.97387917746582","35.89732549927964","1"
"10.0","-13.446509263011432","-46.94162853171858","1"
"10.0","19.823835496586803","80.46904245275928","1"
"10.0","36.12142403264642","-73.85493664092283","1"
"10.0","22.144589107807036","-29.143710459566876","1"
"187.20165984451603","100.0","-97.7471086159018","1"
"10.0","18.630737187956466","-79.50165076918067","1"
"29.05087194487698","32.132714436850264","99.99999999999999","1"
"10.0","62.08473997650052","53.9395714467831","1"
"10.594003966583914","100.0","-51.26934089506454","1"
"10.0","-35.83975881795873","-57.0845429172847","1"
"10.83578841316867","-53.10182799935504","100.0","1"
"9.999999999999998","52.926507499089155","39.49904605035715","1"
"10.0","47.66917226458469","-36.102008613843","1"
"158.81731733618648","-16.071041005086784","-100.0","1"
"10.0","-73.609619967854","30.064414678415062","1"
"10.092235914907963","100.0","6.482250185720218","1"
"10.0","47.26612911488586","-2.788463838615513","1"
"10.00785565714174","-100.0","-84.15740955751892","1"
"10.0","-2.113347059534128","-76.37141652810922","1"
"26.210399072289004","-100.0","-26.014414630608762","1"
"27.013692942248706","-35.53895144027513","-100.0","1"
"73.99888325491915","-97.6584405857335","100.0","1"
"88.61992194787818","-99.99999999999999","-36.165585130952685","1"
"10.0","34.92805460028841","99.7994247149179","1"
"10.0","22.254951757231446","-67.55169341147823","1"
"10.0","-84.3120327876764","4.6567786273332175","1"
"22.993577582737693","-83.73642655608506","-100.0","1"
"10.0","-75.42130012820093","-29.861204019782157","1"
"20.812098056883883","100.0","27.87641860602364","1"
"10.0","-45.86478694739418","28.404418202793565","1"
"9.999999999999998","69.4117831152578","82.8164001133432","1"
"10.0","29.88400425567127","55.793080325960574","1"
"10.0","69.5099016295476","28.20098693167651","1"
"10.0","-68.25201669113939","63.0007352744896","1"
"9.999999999999998","-12.484879419572746","18.095926174742882","1"
"209.92115087102616","-100.0","20.66252390085772","1"
"10.0","99.77369580273445","15.87474340038635","1"
"9.999999999999998","37.196672817298406","57.88986980726426","1"
"10.0","-87.35593315197423","70.11506302537498","1"
"10.0","39.00069821370002","73.06577072681957","1"
"10.0","-49.78270982923827","-94.12923506299266","1"
"10.0","-37.26300266929143","13.55403477155079","1"
"126.95542237044312","71.11876186162553","-100.00000000000001","1"
"10.0","36.44409340336262","48.012156998455616","1"
"38.92843189947854","100.0","-28.66594413847649","1"
"10.0","-49.83348562250703","40.39357181404908","1"
